"[230.95, 311.39]","[211.36, 327.8]","[214.32, 319.0]","[212.25, 316.97]","[214.88, 313.18]","[214.03, 313.29]","[213.96, 310.39]","[211.45, 308.42]","[222.01, 295.88]","[218.77, 303.04]","[209.08, 321.56]","[239.1, 300.11]"
"[223.7, 298.7]","[203.98, 315.47]","[208.03, 305.55]","[205.92, 303.24]","[207.08, 300.67]","[206.3, 300.93]","[208.42, 296.51]","[203.88, 297.22]","[214.98, 284.28]","[211.72, 291.01]","[204.4, 306.51]","[230.37, 288.77]"
"[216.18, 287.45]","[197.42, 303.32]","[201.99, 293.03]","[200.45, 290.19]","[201.13, 288.06]","[199.21, 289.62]","[202.39, 284.67]","[197.35, 286.57]","[207.79, 274.68]","[204.36, 281.35]","[198.63, 294.57]","[222.03, 278.69]"
"[209.6, 277.39]","[191.46, 292.51]","[195.76, 282.55]","[194.6, 279.46]","[195.51, 277.32]","[193.25, 279.61]","[195.93, 275.66]","[190.89, 278.0]","[200.68, 266.88]","[198.08, 272.46]","[192.1, 285.39]","[214.66, 269.79]"
"[203.42, 268.36]","[167.81, 300.48]","[189.99, 273.08]","[189.56, 270.12]","[191.23, 267.86]","[187.76, 271.54]","[189.81, 268.3]","[185.12, 270.7]","[194.31, 260.83]","[192.92, 265.5]","[188.04, 276.78]","[207.93, 262.58]"
"[198.91, 261.46]","[184.66, 272.5]","[186.73, 265.01]","[186.16, 261.46]","[187.32, 259.1]","[164.24, 282.64]","[185.1, 261.72]","[181.09, 264.65]","[189.04, 256.48]","[188.83, 259.44]","[183.64, 270.12]","[202.59, 256.36]"
"[195.65, 255.15]","[183.3, 263.99]","[183.78, 258.0]","[183.48, 254.31]","[184.76, 252.08]","[163.71, 273.96]","[181.47, 256.59]","[178.13, 259.26]","[184.02, 253.37]","[186.85, 253.22]","[180.48, 264.71]","[198.15, 251.71]"
"[193.67, 249.68]","[182.39, 257.12]","[181.92, 252.16]","[181.14, 249.25]","[182.96, 246.83]","[173.01, 257.89]","[178.84, 252.72]","[175.97, 255.26]","[180.31, 251.22]","[184.59, 249.65]","[178.61, 260.42]","[194.59, 248.45]"
"[191.67, 246.25]","[182.68, 251.69]","[181.07, 247.89]","[179.06, 245.5]","[180.81, 242.11]","[128.15, 295.49]","[175.76, 249.33]","[173.89, 252.4]","[177.15, 250.64]","[182.83, 247.78]","[177.04, 257.54]","[191.63, 246.15]"
"[190.26, 244.29]","[182.91, 246.71]","[179.62, 243.86]","[144.25, 275.53]","[179.91, 239.94]","[172.96, 249.01]","[174.79, 248.77]","[172.97, 250.9]","[174.65, 249.86]","[182.25, 245.07]","[176.3, 255.57]","[190.18, 245.07]"
"[165.66, 265.7]","[183.7, 242.99]","[179.79, 241.97]","[177.54, 241.52]","[180.35, 238.6]","[172.22, 247.73]","[173.27, 247.35]","[156.89, 264.26]","[172.82, 250.09]","[182.02, 244.56]","[175.49, 255.35]","[188.66, 244.35]"
"[188.0, 243.26]","[185.0, 241.07]","[180.31, 240.42]","[177.29, 240.61]","[180.59, 237.39]","[171.84, 247.5]","[173.19, 247.19]","[172.18, 249.02]","[157.23, 265.93]","[181.33, 245.66]","[175.87, 255.42]","[188.55, 244.76]"
"[187.83, 243.6]","[186.1, 239.9]","[180.76, 240.02]","[177.28, 240.85]","[181.02, 237.21]","[172.2, 247.31]","[173.39, 247.25]","[156.95, 264.9]","[170.58, 253.78]","[182.25, 246.25]","[176.08, 256.53]","[188.65, 245.39]"
"[187.34, 245.48]","[187.23, 239.96]","[181.05, 240.4]","[177.57, 240.81]","[156.3, 262.26]","[172.76, 247.7]","[173.38, 248.96]","[172.86, 251.1]","[170.98, 255.37]","[183.41, 246.67]","[175.57, 258.36]","[189.04, 246.34]"
"[186.65, 246.62]","[148.04, 279.04]","[181.09, 241.11]","[178.28, 242.22]","[182.94, 238.33]","[156.78, 265.72]","[157.21, 266.07]","[172.73, 251.87]","[157.24, 270.63]","[184.87, 247.95]","[177.06, 259.87]","[189.56, 247.74]"
"[187.9, 249.24]","[189.74, 241.54]","[182.64, 243.18]","[178.97, 243.91]","[183.42, 239.11]","[121.11, 302.4]","[172.74, 252.17]","[173.27, 253.79]","[133.52, 297.21]","[185.36, 250.25]","[178.58, 261.1]","[190.89, 249.58]"
"[188.44, 251.22]","[191.28, 242.9]","[184.44, 245.05]","[180.19, 246.59]","[181.57, 244.23]","[131.54, 294.36]","[135.78, 291.32]","[158.46, 271.6]","[158.76, 276.15]","[187.77, 252.52]","[181.56, 262.22]","[192.88, 250.65]"
"[189.76, 253.48]","[192.57, 243.89]","[141.21, 289.86]","[180.63, 248.32]","[180.71, 248.86]","[127.28, 303.94]","[166.03, 267.02]","[175.73, 259.93]","[161.36, 278.53]","[189.75, 255.28]","[183.85, 264.74]","[195.71, 252.38]"
"[192.27, 255.52]","[195.36, 246.42]","[187.45, 249.45]","[182.69, 251.69]","[156.75, 277.07]","[128.23, 306.17]","[146.5, 289.54]","[176.71, 262.66]","[147.14, 297.34]","[191.92, 258.0]","[186.12, 267.03]","[197.74, 254.61]"
"[194.04, 258.59]","[197.48, 249.0]","[190.52, 251.3]","[184.63, 255.17]","[153.54, 286.08]","[160.47, 279.64]","[148.24, 293.04]","[178.89, 265.24]","[144.56, 304.56]","[193.45, 261.33]","[188.3, 269.96]","[199.83, 257.6]"
"[195.98, 261.37]","[199.49, 251.37]","[193.24, 253.49]","[187.16, 258.65]","[179.33, 267.11]","[182.68, 264.18]","[162.06, 285.15]","[181.63, 267.66]","[150.23, 303.92]","[195.17, 265.05]","[190.35, 273.64]","[201.94, 260.9]"
"[199.41, 263.85]","[201.59, 254.81]","[194.98, 256.32]","[188.45, 261.07]","[152.63, 297.37]","[173.66, 277.24]","[179.19, 272.55]","[184.05, 269.79]","[133.75, 324.63]","[197.49, 266.86]","[191.14, 277.48]","[204.07, 264.22]"
"[203.1, 265.72]","[203.45, 258.3]","[196.84, 259.43]","[190.28, 263.79]","[160.02, 293.8]","[123.55, 329.89]","[179.32, 273.53]","[184.09, 270.01]","[84.83, 374.17]","[198.36, 268.07]","[193.36, 279.14]","[206.12, 267.34]"
"[205.24, 267.17]","[204.08, 261.44]","[198.59, 262.09]","[192.53, 266.86]","[173.2, 286.93]","[188.36, 272.22]","[174.62, 285.76]","[187.69, 273.79]","[144.83, 320.86]","[201.29, 270.83]","[195.02, 282.14]","[207.97, 269.39]"
"[199.9, 277.89]","[186.39, 285.17]","[201.64, 264.65]","[194.48, 269.95]","[189.83, 275.2]","[164.22, 301.17]","[154.71, 309.67]","[180.45, 283.26]","[161.22, 304.87]","[144.21, 327.74]","[194.99, 283.26]","[210.1, 270.67]"
"[175.63, 306.03]","[172.65, 302.62]","[204.51, 267.72]","[193.48, 278.92]","[204.48, 268.27]","[195.23, 275.92]","[158.53, 310.46]","[166.33, 303.5]","[181.68, 293.79]","[199.57, 283.89]","[199.2, 289.46]","[214.13, 273.53]"
"[212.73, 275.08]","[155.78, 325.02]","[195.51, 280.75]","[197.23, 277.78]","[206.41, 267.94]","[150.04, 321.78]","[122.62, 345.88]","[186.73, 281.59]","[129.65, 344.31]","[215.31, 268.19]","[199.94, 291.42]","[215.76, 277.03]"
"[213.86, 278.27]","[212.45, 274.68]","[203.22, 279.66]","[197.99, 280.87]","[201.82, 271.93]","[123.34, 344.8]","[115.78, 349.44]","[149.43, 318.73]","[171.45, 305.5]","[217.98, 269.58]","[201.04, 293.71]","[216.5, 279.31]"
"[196.51, 297.13]","[196.8, 291.77]","[183.75, 300.99]","[192.61, 288.69]","[195.77, 280.36]","[222.42, 247.07]","[176.23, 288.83]","[165.09, 301.95]","[200.97, 275.06]","[218.46, 269.28]","[201.25, 294.75]","[213.83, 283.64]"
"[53.43, 410.7]","[65.1, 398.46]","[89.94, 376.66]","[96.32, 371.57]","[99.02, 364.04]","[142.92, 311.05]","[180.39, 267.24]","[162.62, 287.12]","[149.16, 310.03]","[190.83, 278.03]","[80.43, 391.72]","[50.46, 418.29]"
"[nan, nan]","[nan, nan]","[-260.91, 414.98]","[-149.3, 477.84]","[-153.49, 520.74]","[-186.48, 475.65]","[-227.34, 444.59]","[-209.53, 453.02]","[-162.45, 493.98]","[-155.35, 511.09]","[-196.54, 433.45]","[nan, nan]"
