"[10.4, 125.36]","[11.96, 123.4]","[10.44, 123.6]","[9.38, 123.22]","[7.94, 124.03]","[6.44, 125.99]","[5.84, 127.54]","[2.67, 131.34]","[4.69, 129.39]","[3.11, 130.9]","[7.11, 127.28]","[10.97, 124.22]"
"[50.34, 100.57]","[46.3, 104.39]","[51.31, 98.38]","[49.68, 99.02]","[51.6, 97.35]","[58.06, 92.82]","[64.1, 89.34]","[61.34, 93.62]","[61.52, 93.06]","[52.39, 100.48]","[50.78, 100.53]","[48.93, 101.85]"
"[66.69, 98.5]","[68.59, 96.09]","[67.57, 95.88]","[70.96, 91.48]","[69.63, 93.1]","[71.51, 92.96]","[73.22, 93.4]","[67.61, 100.16]","[63.65, 103.74]","[71.99, 94.18]","[70.5, 94.74]","[67.73, 97.36]"
"[77.57, 100.33]","[76.43, 101.02]","[76.74, 99.44]","[76.94, 98.08]","[76.25, 98.96]","[77.61, 99.43]","[79.52, 99.92]","[78.97, 101.85]","[79.94, 100.53]","[78.66, 100.43]","[77.68, 100.29]","[77.98, 99.77]"
"[83.43, 106.78]","[82.19, 107.6]","[82.68, 105.94]","[82.77, 104.75]","[82.15, 105.49]","[83.63, 105.74]","[84.04, 107.66]","[84.84, 108.3]","[86.07, 106.88]","[84.54, 107.11]","[83.59, 106.89]","[83.85, 106.29]"
"[89.04, 113.04]","[87.72, 113.9]","[88.39, 112.06]","[88.28, 111.13]","[87.74, 111.9]","[89.25, 112.19]","[90.95, 112.85]","[91.81, 113.42]","[91.91, 113.09]","[90.29, 113.39]","[89.39, 113.09]","[89.62, 112.47]"
"[94.34, 118.93]","[93.02, 119.77]","[93.61, 118.04]","[93.48, 117.15]","[92.8, 118.08]","[94.32, 118.37]","[96.14, 118.94]","[97.07, 119.49]","[95.86, 120.5]","[95.64, 119.38]","[94.87, 118.91]","[95.05, 118.27]"
"[99.05, 124.73]","[97.8, 125.47]","[98.21, 123.89]","[98.24, 122.86]","[97.51, 123.91]","[99.09, 124.24]","[100.98, 124.85]","[102.02, 125.34]","[102.24, 124.9]","[100.39, 125.33]","[99.74, 124.66]","[99.78, 124.09]"
"[103.45, 130.26]","[102.42, 130.75]","[102.57, 129.42]","[102.68, 128.32]","[101.86, 129.5]","[103.69, 129.67]","[105.59, 130.35]","[106.82, 130.69]","[106.98, 130.3]","[104.64, 131.18]","[104.19, 130.23]","[104.21, 129.63]"
"[107.55, 135.44]","[106.63, 135.84]","[106.72, 134.6]","[106.8, 133.55]","[106.19, 134.51]","[107.94, 134.76]","[109.9, 135.41]","[111.54, 135.38]","[111.5, 135.22]","[108.83, 136.41]","[108.4, 135.39]","[108.43, 134.71]"
"[111.21, 140.32]","[110.53, 140.52]","[110.47, 139.46]","[110.51, 138.46]","[109.99, 139.31]","[111.73, 139.55]","[113.66, 140.24]","[115.65, 139.93]","[115.65, 139.76]","[112.63, 141.29]","[112.18, 140.24]","[112.29, 139.43]"
"[114.68, 144.72]","[113.96, 144.94]","[113.97, 143.81]","[113.83, 142.97]","[113.3, 143.81]","[115.03, 144.06]","[117.18, 144.59]","[119.24, 144.3]","[119.17, 144.26]","[115.98, 145.97]","[115.61, 144.77]","[115.55, 144.05]"
"[117.8, 148.63]","[117.06, 148.87]","[117.16, 147.65]","[116.71, 147.08]","[116.26, 147.8]","[118.04, 148.02]","[120.42, 148.4]","[122.34, 148.33]","[122.22, 148.39]","[118.94, 150.16]","[118.72, 148.74]","[118.57, 148.07]"
"[120.29, 152.28]","[119.72, 152.34]","[119.77, 151.19]","[119.15, 150.79]","[118.77, 151.41]","[120.66, 151.47]","[123.18, 151.65]","[124.92, 151.76]","[124.95, 151.74]","[121.45, 153.79]","[121.32, 152.33]","[121.2, 151.63]"
"[122.43, 155.4]","[122.04, 155.34]","[122.12, 154.18]","[121.22, 154.05]","[120.94, 154.54]","[122.95, 154.42]","[125.43, 154.62]","[127.17, 154.72]","[127.2, 154.69]","[123.54, 156.91]","[123.44, 155.42]","[123.33, 154.72]"
"[124.24, 158.11]","[123.96, 157.96]","[123.95, 156.89]","[123.06, 156.76]","[122.91, 157.12]","[124.85, 157.07]","[127.32, 157.24]","[128.97, 157.37]","[129.07, 157.21]","[125.18, 159.64]","[125.31, 157.95]","[125.14, 157.36]"
"[125.97, 160.32]","[125.66, 160.26]","[125.67, 159.17]","[124.6, 159.18]","[124.54, 159.42]","[126.49, 159.38]","[128.95, 159.6]","[130.6, 159.72]","[130.6, 159.59]","[126.58, 162.07]","[127.04, 160.02]","[126.76, 159.58]"
"[127.6, 162.19]","[127.24, 162.22]","[127.23, 161.15]","[126.1, 161.2]","[126.12, 161.33]","[127.89, 161.47]","[130.49, 161.58]","[132.11, 161.8]","[132.09, 161.73]","[127.98, 164.26]","[128.48, 162.11]","[128.12, 161.73]"
"[127.66, 165.06]","[127.23, 165.27]","[128.53, 162.95]","[127.41, 162.92]","[125.59, 164.79]","[128.96, 163.3]","[129.69, 165.37]","[133.42, 163.58]","[131.54, 165.38]","[127.64, 167.62]","[124.6, 168.88]","[126.08, 166.62]"
