"[-48.94, 364.47]","[-84.04, 391.18]","[-92.0, 380.24]","[-115.03, 375.78]","[-133.56, 363.84]","[-181.76, 388.2]","[-129.28, 328.06]","[-87.82, 298.91]","[-96.75, 335.38]","[-89.27, 360.13]","[-57.58, 354.99]","[-6.92, 319.52]"
"[22.0, 301.69]","[25.47, 292.94]","[9.89, 305.89]","[13.13, 304.86]","[10.76, 311.66]","[12.96, 311.41]","[19.67, 302.14]","[-36.48, 353.96]","[-34.93, 350.97]","[1.14, 318.24]","[4.14, 320.43]","[8.67, 318.02]"
"[53.16, 242.99]","[49.79, 244.91]","[62.88, 231.35]","[60.47, 233.13]","[53.98, 240.25]","[73.24, 225.24]","[93.62, 212.87]","[82.48, 232.4]","[81.36, 237.49]","[79.17, 236.88]","[64.88, 243.62]","[-67.64, 368.39]"
"[56.37, 208.73]","[66.21, 197.64]","[49.95, 212.95]","[59.84, 202.38]","[66.55, 196.9]","[62.64, 205.25]","[94.26, 180.32]","[82.07, 198.25]","[80.94, 200.96]","[68.43, 210.27]","[49.99, 222.99]","[-53.75, 321.66]"
"[58.16, 176.2]","[52.6, 180.63]","[54.07, 178.63]","[52.78, 179.79]","[65.67, 168.25]","[74.04, 163.8]","[79.29, 164.32]","[80.88, 167.76]","[77.53, 172.6]","[57.35, 190.0]","[54.63, 187.48]","[-53.64, 290.86]"
"[45.41, 161.14]","[45.46, 158.54]","[42.16, 160.91]","[45.1, 158.46]","[58.93, 146.6]","[67.43, 141.72]","[71.84, 142.03]","[67.24, 151.02]","[68.8, 151.65]","[56.31, 163.1]","[48.97, 166.64]","[-75.64, 286.37]"
"[45.15, 138.89]","[51.64, 130.5]","[45.43, 135.38]","[41.91, 138.57]","[55.56, 126.34]","[64.6, 120.71]","[61.71, 128.02]","[57.54, 135.78]","[59.59, 134.89]","[46.82, 146.15]","[51.05, 138.82]","[-60.09, 246.72]"
"[49.13, 116.55]","[43.58, 119.01]","[40.75, 119.82]","[40.5, 120.4]","[49.57, 113.45]","[61.15, 103.96]","[54.84, 111.01]","[42.12, 123.41]","[47.4, 118.07]","[41.09, 125.39]","[41.07, 126.69]","[-63.62, 231.37]"
"[42.31, 109.58]","[47.01, 101.1]","[38.88, 106.66]","[40.07, 105.73]","[47.23, 100.9]","[54.57, 95.69]","[50.75, 99.98]","[37.43, 112.63]","[42.57, 107.54]","[37.46, 114.29]","[44.78, 109.08]","[-102.56, 256.82]"
"[40.4, 97.9]","[42.75, 92.82]","[37.64, 95.93]","[37.54, 96.02]","[42.76, 92.4]","[50.47, 86.41]","[45.82, 91.69]","[33.98, 103.29]","[37.63, 99.69]","[34.97, 103.37]","[39.35, 100.36]","[-72.92, 212.88]"
"[37.75, 91.87]","[41.08, 83.51]","[34.16, 86.79]","[33.11, 87.93]","[38.66, 85.15]","[48.88, 77.23]","[41.3, 84.66]","[30.29, 94.13]","[32.74, 91.59]","[32.2, 94.86]","[37.54, 93.32]","[-113.24, 245.53]"
"[34.84, 82.47]","[37.92, 75.72]","[32.5, 78.54]","[31.4, 79.72]","[35.25, 77.85]","[41.72, 73.09]","[37.08, 77.77]","[28.0, 86.0]","[29.94, 84.19]","[28.59, 87.52]","[35.22, 83.43]","[-98.54, 217.96]"
"[31.83, 76.74]","[35.51, 69.02]","[31.13, 70.68]","[29.55, 72.61]","[33.27, 71.21]","[39.99, 66.16]","[34.31, 71.4]","[25.86, 78.41]","[27.52, 76.72]","[26.36, 80.25]","[13.73, 96.03]","[-108.65, 219.5]"
"[29.58, 69.49]","[32.04, 62.03]","[29.12, 63.91]","[28.38, 67.09]","[31.9, 65.99]","[36.4, 61.19]","[31.02, 64.4]","[23.77, 71.03]","[26.67, 71.3]","[27.16, 76.12]","[-147.34, 253.82]","[31.4, 73.25]"
"[27.82, 60.63]","[28.61, 55.52]","[26.74, 56.57]","[26.12, 59.49]","[28.92, 59.0]","[32.48, 55.22]","[27.82, 57.82]","[22.59, 62.2]","[24.56, 62.7]","[24.25, 67.54]","[-114.83, 209.5]","[28.99, 64.23]"
"[25.64, 53.46]","[25.65, 48.34]","[24.19, 48.33]","[24.69, 49.95]","[27.04, 50.15]","[30.37, 46.9]","[25.56, 49.74]","[22.27, 52.13]","[24.28, 52.74]","[24.44, 57.61]","[-143.36, 228.86]","[28.03, 56.25]"
"[23.26, 48.31]","[23.55, 43.63]","[23.27, 43.06]","[25.68, 42.87]","[26.77, 43.84]","[29.37, 40.69]","[24.99, 42.76]","[23.25, 43.65]","[24.67, 45.0]","[24.61, 50.01]","[-149.62, 227.41]","[27.05, 49.37]"
"[20.69, 45.19]","[21.41, 40.71]","[22.3, 39.29]","[24.84, 38.85]","[25.98, 39.42]","[27.25, 37.3]","[22.5, 39.63]","[19.84, 41.38]","[23.3, 40.5]","[21.91, 46.49]","[-144.15, 215.5]","[24.52, 45.64]"
"[21.02, 41.11]","[20.69, 38.08]","[20.78, 37.62]","[22.66, 37.78]","[25.24, 36.85]","[26.05, 35.24]","[23.51, 35.4]","[20.76, 37.08]","[19.71, 40.3]","[23.84, 40.34]","[-151.55, 218.5]","[22.31, 43.65]"
