"[-38.42, 285.49]","[-65.95, 306.45]","[-72.16, 297.87]","[-90.27, 294.45]","[-104.59, 284.89]","[-142.42, 304.02]","[-101.3, 256.91]","[-68.82, 234.09]","[-75.77, 262.63]","[-69.9, 282.02]","[-45.1, 278.0]","[-5.6, 250.39]"
"[14.76, 27.92]","[13.02, 27.21]","[12.74, 27.4]","[13.36, 27.82]","[15.7, 25.77]","[14.77, 25.8]","[14.19, 25.79]","[16.45, 25.02]","[17.74, 27.24]","[-135.2, 183.52]","[17.48, 31.53]","[-15.0, 61.49]"
"[20.68, 34.65]","[12.42, 27.17]","[9.66, 24.3]","[12.56, 26.02]","[16.93, 27.47]","[17.51, 25.95]","[12.96, 24.44]","[13.21, 22.43]","[17.71, 27.34]","[-128.57, 190.3]","[-90.19, 163.61]","[-136.89, 207.45]"
"[20.04, 34.26]","[12.48, 27.18]","[9.92, 23.91]","[12.31, 25.31]","[15.55, 27.61]","[17.13, 25.72]","[13.11, 24.41]","[12.56, 22.9]","[16.67, 26.66]","[-124.65, 182.92]","[-116.33, 185.77]","[-149.29, 216.99]"
"[11.48, 26.83]","[12.41, 26.33]","[13.65, 26.82]","[13.88, 26.35]","[13.59, 24.4]","[13.36, 23.73]","[15.25, 25.32]","[18.42, 29.15]","[-113.49, 166.98]","[-119.94, 173.89]","[11.9, 36.85]","[-42.14, 84.14]"
"[11.76, 27.62]","[12.28, 27.36]","[13.34, 26.48]","[13.15, 25.88]","[14.66, 23.47]","[14.53, 24.33]","[16.11, 25.77]","[17.75, 27.98]","[-139.96, 187.83]","[17.66, 29.22]","[-7.92, 51.59]","[-4.66, 45.27]"
"[11.86, 27.66]","[12.45, 27.94]","[13.83, 26.68]","[13.42, 25.94]","[14.25, 24.1]","[15.64, 23.66]","[16.57, 25.86]","[18.19, 27.65]","[-125.7, 172.73]","[17.44, 27.77]","[14.14, 27.82]","[-0.76, 40.46]"
"[12.19, 26.74]","[13.36, 27.66]","[14.83, 27.19]","[14.42, 26.38]","[14.07, 25.01]","[16.36, 23.22]","[16.71, 26.34]","[19.48, 27.71]","[-137.59, 186.21]","[18.34, 27.69]","[14.74, 26.81]","[11.93, 26.69]"
"[13.53, 26.41]","[14.77, 27.54]","[16.03, 27.49]","[15.51, 26.74]","[14.5, 25.78]","[17.11, 23.51]","[17.63, 26.54]","[21.09, 27.45]","[-140.87, 190.95]","[19.2, 28.19]","[16.06, 26.57]","[12.9, 26.63]"
"[15.05, 26.67]","[16.1, 27.76]","[16.89, 28.08]","[16.68, 27.15]","[15.66, 26.36]","[17.9, 24.27]","[18.76, 26.43]","[21.8, 27.18]","[-128.67, 179.04]","[19.66, 28.4]","[17.12, 26.84]","[14.24, 27.06]"
"[16.12, 27.13]","[17.19, 28.46]","[17.88, 29.13]","[17.81, 28.02]","[16.92, 26.88]","[18.42, 25.53]","[20.07, 27.3]","[23.27, 28.5]","[-137.48, 190.95]","[21.29, 29.64]","[17.88, 28.28]","[15.35, 27.59]"
