"[nan, nan]","[31.58, 246.09]","[32.02, 238.42]","[31.08, 232.92]","[31.44, 230.11]","[31.97, 231.63]","[33.07, 234.9]","[35.08, 236.89]","[35.26, 239.44]","[39.0, 238.05]","[47.18, 232.73]","[47.53, 234.82]"
"[54.6, 258.85]","[70.49, 253.09]","[72.52, 238.07]","[63.73, 230.69]","[65.8, 228.45]","[72.13, 236.42]","[50.1, 266.93]","[63.66, 238.91]","[-9.35, 279.97]","[-78.18, 324.38]","[-84.31, 335.01]","[51.35, 229.99]"
"[143.9, 182.46]","[148.91, 187.05]","[129.47, 193.2]","[114.15, 191.75]","[114.18, 190.69]","[119.13, 199.61]","[94.34, 233.59]","[117.98, 197.3]","[30.97, 254.3]","[-48.58, 310.39]","[-66.19, 332.08]","[116.24, 179.09]"
"[143.91, 185.4]","[148.35, 187.24]","[129.08, 193.76]","[115.08, 193.6]","[116.11, 192.74]","[109.11, 211.93]","[96.45, 231.33]","[120.9, 194.41]","[30.61, 258.62]","[-36.02, 306.77]","[-41.44, 318.2]","[119.09, 184.31]"
"[145.42, 186.87]","[147.73, 188.82]","[129.3, 194.78]","[115.72, 195.82]","[117.64, 194.89]","[114.99, 208.74]","[89.54, 239.3]","[118.98, 197.26]","[36.65, 255.71]","[-29.84, 306.73]","[-25.26, 309.5]","[120.23, 189.16]"
"[147.33, 186.68]","[147.23, 190.97]","[130.59, 196.74]","[117.05, 198.68]","[118.88, 196.96]","[127.48, 198.06]","[83.07, 247.74]","[115.64, 205.27]","[59.59, 241.01]","[-7.56, 294.27]","[-17.93, 310.24]","[120.97, 192.83]"
"[150.38, 187.71]","[147.77, 193.64]","[131.77, 198.69]","[119.03, 200.18]","[120.57, 199.06]","[120.58, 209.02]","[107.83, 227.55]","[120.68, 205.8]","[87.77, 219.54]","[-1.72, 295.75]","[-9.93, 309.12]","[123.82, 195.54]"
"[152.27, 188.69]","[148.88, 196.79]","[134.26, 201.2]","[121.54, 201.98]","[122.21, 200.16]","[125.46, 205.62]","[93.78, 243.05]","[112.66, 216.12]","[103.28, 207.03]","[12.43, 284.45]","[-13.4, 314.76]","[124.9, 196.44]"
"[152.61, 189.56]","[150.88, 200.18]","[137.06, 205.29]","[124.94, 203.4]","[123.9, 200.31]","[128.71, 203.83]","[96.95, 244.2]","[124.68, 211.63]","[115.45, 202.39]","[71.78, 228.85]","[-22.24, 322.95]","[122.86, 196.71]"
"[154.97, 192.9]","[153.47, 203.43]","[139.35, 207.13]","[127.3, 203.93]","[126.57, 201.21]","[132.7, 205.05]","[107.35, 239.24]","[129.52, 209.87]","[111.59, 205.81]","[71.5, 226.9]","[-7.66, 307.66]","[123.41, 199.04]"
"[156.9, 194.99]","[155.24, 206.45]","[142.11, 208.95]","[130.39, 204.75]","[130.32, 201.0]","[136.1, 205.34]","[108.95, 241.52]","[125.56, 217.32]","[114.56, 205.32]","[74.99, 224.97]","[-9.06, 310.62]","[124.39, 200.68]"
"[158.44, 196.88]","[154.72, 206.65]","[142.94, 210.36]","[134.33, 207.01]","[133.0, 204.46]","[136.28, 207.06]","[107.82, 241.51]","[126.95, 218.13]","[114.61, 216.46]","[107.6, 211.54]","[18.98, 302.25]","[129.68, 207.76]"
"[161.65, 200.15]","[155.66, 207.71]","[142.86, 210.93]","[135.7, 208.18]","[135.41, 207.18]","[138.29, 210.06]","[105.22, 246.1]","[129.84, 214.59]","[104.46, 226.99]","[95.42, 228.7]","[51.17, 279.56]","[134.05, 213.49]"
"[163.24, 201.78]","[156.97, 208.71]","[144.04, 212.45]","[137.31, 210.01]","[137.42, 208.54]","[138.42, 212.25]","[90.88, 261.89]","[133.43, 212.95]","[111.59, 223.72]","[67.64, 262.3]","[57.1, 279.93]","[136.26, 216.33]"
"[163.81, 202.64]","[158.02, 209.45]","[146.12, 214.18]","[139.58, 212.55]","[138.97, 210.45]","[140.02, 211.88]","[82.62, 271.02]","[138.33, 211.57]","[113.53, 229.15]","[77.2, 261.98]","[60.07, 284.53]","[137.73, 218.79]"
"[165.03, 203.98]","[158.76, 210.64]","[147.73, 215.33]","[141.49, 214.29]","[140.21, 212.49]","[127.58, 226.17]","[75.82, 278.78]","[133.13, 218.67]","[122.89, 224.11]","[93.87, 251.69]","[77.06, 273.99]","[139.39, 221.74]"
"[166.55, 204.99]","[158.86, 211.86]","[149.18, 216.24]","[143.79, 215.95]","[142.91, 213.72]","[140.69, 214.97]","[51.45, 302.95]","[126.06, 225.71]","[111.59, 238.15]","[118.84, 232.69]","[100.22, 257.86]","[141.48, 224.91]"
"[168.17, 206.74]","[160.05, 214.0]","[150.23, 217.4]","[144.64, 216.86]","[141.5, 218.08]","[143.09, 217.46]","[68.06, 291.93]","[138.73, 217.08]","[115.46, 235.49]","[87.5, 263.35]","[106.59, 251.23]","[141.53, 226.61]"
"[168.86, 207.81]","[161.91, 216.35]","[151.77, 219.38]","[145.46, 217.63]","[141.86, 218.92]","[129.24, 234.34]","[85.24, 279.66]","[137.07, 222.73]","[98.02, 252.93]","[82.63, 263.92]","[58.1, 294.25]","[139.72, 225.8]"
"[126.01, 250.89]","[137.58, 237.87]","[116.62, 252.63]","[125.65, 238.15]","[128.4, 234.07]","[124.65, 239.06]","[116.23, 247.14]","[93.96, 265.63]","[110.97, 244.34]","[87.61, 267.9]","[106.45, 255.61]","[123.09, 248.2]"
"[117.38, 261.44]","[112.07, 267.38]","[133.56, 236.57]","[120.36, 240.78]","[121.92, 239.93]","[132.11, 239.19]","[141.82, 237.35]","[140.64, 235.76]","[110.77, 253.74]","[78.11, 276.34]","[89.54, 266.34]","[121.75, 245.9]"
"[18.73, 335.76]","[59.47, 300.57]","[92.41, 266.22]","[82.56, 270.51]","[77.06, 271.71]","[80.5, 267.88]","[92.73, 256.83]","[83.74, 264.34]","[93.92, 248.93]","[96.73, 240.98]","[64.99, 272.95]","[49.31, 295.66]"
