,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[25, 30]","[9.83832, 11.61670]","[9.15756, 11.74503]","[9.63941, 11.12362]","[9.20761, 11.50253]","[8.97479, 11.67148]","[8.88955, 11.95072]","[8.02185, 13.58192]","[7.44402, 15.39997]","[8.58777, 15.38913]","[6.41261, 17.92270]","[8.21678, 15.49460]","[9.92062, 12.60342]"
"[30, 35]","[8.28103, 12.87777]","[6.97987, 12.86702]","[6.67984, 12.52394]","[6.71697, 12.64479]","[7.11586, 12.55948]","[6.77511, 12.72227]","[6.72504, 12.19056]","[5.76813, 12.92088]","[5.90847, 13.53300]","[5.30579, 15.62553]","[6.57257, 15.58365]","[8.38838, 13.83645]"
"[35, 40]","[8.27880, 12.88744]","[6.93737, 13.01968]","[6.71467, 12.51123]","[7.09355, 12.12031]","[7.22881, 12.17843]","[7.03434, 12.15772]","[6.95542, 11.62535]","[6.50019, 11.75393]","[6.50459, 12.35719]","[5.91323, 14.37291]","[6.34367, 15.28493]","[8.45891, 13.50837]"
"[40, 45]","[8.44407, 12.67904]","[7.63925, 12.48543]","[7.13729, 12.09921]","[7.14474, 11.77365]","[7.33613, 11.60124]","[7.15129, 11.59701]","[6.91023, 11.26979]","[6.15679, 11.54622]","[6.57157, 11.41356]","[6.51367, 12.65895]","[5.93040, 14.69868]","[8.16800, 13.25621]"
"[45, 50]","[8.22326, 12.69951]","[7.58607, 12.65134]","[7.21822, 12.13053]","[7.07121, 11.69946]","[7.18651, 11.33943]","[7.17539, 11.09686]","[6.87754, 10.92423]","[6.51526, 10.85746]","[6.71316, 10.79481]","[6.64583, 11.80121]","[5.40816, 14.39802]","[7.75684, 13.05646]"
"[50, 55]","[8.16930, 12.59454]","[7.58858, 12.72901]","[7.17783, 12.24043]","[7.02277, 11.61594]","[7.00732, 11.20266]","[6.96101, 10.97621]","[6.84754, 10.71407]","[6.57756, 10.58408]","[6.70414, 10.45007]","[7.14491, 10.72830]","[5.90233, 13.24582]","[7.22271, 13.10497]"
"[55, 60]","[8.03169, 12.49069]","[7.61046, 12.71103]","[7.28896, 12.16835]","[7.04833, 11.47375]","[6.97137, 10.95926]","[6.82410, 10.82083]","[6.80073, 10.58010]","[6.66653, 10.37836]","[6.76249, 10.16111]","[7.22891, 10.18128]","[6.40045, 12.13802]","[6.79137, 13.01827]"
"[60, 65]","[7.80474, 12.44502]","[7.55373, 12.68500]","[7.48491, 11.95996]","[7.10614, 11.32985]","[6.96293, 10.76945]","[6.77574, 10.64173]","[6.83327, 10.38723]","[6.75881, 10.18549]","[6.87758, 9.89041]","[7.22912, 9.86482]","[6.90296, 11.18180]","[6.53335, 12.83650]"
"[65, 70]","[7.53363, 12.44239]","[7.44579, 12.62770]","[7.66204, 11.68502]","[7.14148, 11.18459]","[6.96015, 10.61146]","[6.76801, 10.47065]","[6.89072, 10.19105]","[6.91419, 9.94123]","[7.01190, 9.65554]","[7.28763, 9.61527]","[7.13826, 10.64797]","[6.47220, 12.56137]"
"[70, 75]","[7.32515, 12.34689]","[7.30086, 12.53213]","[7.76311, 11.42675]","[7.17271, 11.03853]","[6.95821, 10.48736]","[6.79027, 10.29774]","[6.93389, 10.00420]","[7.04620, 9.70354]","[7.13912, 9.44434]","[7.33464, 9.44542]","[7.24568, 10.32743]","[6.48416, 12.25592]"
"[75, 80]","[7.17842, 12.22339]","[7.21664, 12.36884]","[7.77555, 11.22766]","[7.18812, 10.88730]","[6.96316, 10.35980]","[6.83415, 10.12119]","[6.97760, 9.82906]","[7.16040, 9.48410]","[7.22096, 9.28347]","[7.37841, 9.30998]","[7.27132, 10.14802]","[6.59599, 11.91330]"
"[80, 85]","[7.05777, 12.07999]","[7.07093, 12.23961]","[7.70475, 11.06915]","[7.19487, 10.71422]","[6.97127, 10.22412]","[6.89979, 9.93434]","[7.01134, 9.67329]","[7.23770, 9.30171]","[7.29270, 9.13459]","[7.40070, 9.21507]","[7.29708, 10.00482]","[6.71829, 11.59364]"
"[85, 90]","[7.04750, 11.83911]","[6.87646, 12.14906]","[7.56819, 10.95140]","[7.17866, 10.54433]","[6.98429, 10.08271]","[6.96250, 9.76410]","[7.04755, 9.52685]","[7.28570, 9.14766]","[7.33790, 9.00414]","[7.40809, 9.13543]","[7.34633, 9.85531]","[6.83630, 11.30299]"
"[90, 95]","[7.05656, 11.63198]","[6.78869, 12.01292]","[7.56849, 10.74382]","[7.20031, 10.35571]","[6.99000, 9.94409]","[7.00349, 9.60411]","[7.07282, 9.38692]","[7.30725, 9.02419]","[7.35585, 8.90681]","[7.40704, 9.06905]","[7.40467, 9.70857]","[6.94343, 11.05440]"
"[95, 100]","[7.03346, 11.44880]","[6.76123, 11.79321]","[7.44632, 10.63372]","[7.20988, 10.16512]","[6.99054, 9.80903]","[7.02053, 9.47003]","[7.09688, 9.24505]","[7.30008, 8.92208]","[7.34910, 8.83166]","[7.43005, 8.98755]","[7.45424, 9.58638]","[7.02450, 10.84093]"
"[100, 125]","[6.95592, 11.03197]","[6.82326, 11.14758]","[7.33849, 10.18053]","[7.17972, 9.72324]","[6.92517, 9.47606]","[6.94828, 9.16402]","[7.04654, 8.91760]","[7.18265, 8.70029]","[7.26967, 8.65675]","[7.40429, 8.82810]","[7.50295, 9.32943]","[7.15824, 10.37140]"
"[125, 150]","[6.99888, 10.30826]","[7.04430, 10.14996]","[7.23794, 9.51595]","[7.02414, 9.17188]","[6.83809, 8.88656]","[6.74432, 8.68428]","[6.84766, 8.44752]","[6.93031, 8.37532]","[7.08844, 8.40621]","[7.30343, 8.60014]","[7.47734, 9.00002]","[7.25721, 9.76757]"
"[150, 175]","[6.90209, 9.83104]","[6.90102, 9.65623]","[7.01297, 9.08597]","[6.70714, 8.82637]","[6.61482, 8.43084]","[6.54818, 8.19859]","[6.61050, 8.05389]","[6.70843, 8.07898]","[6.94135, 8.16087]","[7.09586, 8.48113]","[7.29998, 8.81771]","[7.16863, 9.39147]"
"[175, 200]","[6.66649, 9.50074]","[6.68706, 9.26727]","[6.76665, 8.71090]","[6.40106, 8.49621]","[6.36685, 8.04129]","[6.37540, 7.77230]","[6.42915, 7.72393]","[6.54642, 7.83727]","[6.80678, 7.96450]","[6.85238, 8.39224]","[7.02274, 8.69329]","[6.91936, 9.14632]"
"[200, 225]","[6.38649, 9.22070]","[6.47267, 8.89388]","[6.49825, 8.37011]","[6.13244, 8.14172]","[6.08930, 7.71404]","[6.18281, 7.43137]","[6.24875, 7.48058]","[6.39472, 7.66303]","[6.65976, 7.81956]","[6.58895, 8.32017]","[6.73011, 8.56205]","[6.68730, 8.87064]"
"[225, 250]","[6.10773, 8.94874]","[6.24645, 8.55277]","[6.22628, 8.06171]","[5.87000, 7.82286]","[5.83975, 7.41726]","[6.01470, 7.13317]","[6.04693, 7.31465]","[6.23460, 7.52255]","[6.48967, 7.68828]","[6.34784, 8.19650]","[6.47462, 8.36724]","[6.43214, 8.60929]"
"[250, 275]","[5.88123, 8.63390]","[6.04862, 8.21209]","[5.96664, 7.78930]","[5.63814, 7.53767]","[5.64621, 7.13524]","[5.84916, 6.89529]","[5.85130, 7.18369]","[6.07059, 7.39893]","[6.29769, 7.56799]","[6.16202, 7.99507]","[6.26559, 8.10574]","[6.15978, 8.35716]"
