,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[125.0, 150.0]","[11.24182, 17.46844]","[12.66414, 15.50296]","[12.47766, 14.93136]","[10.78975, 16.05004]","[11.22972, 15.43843]","[10.35377, 16.44191]","[10.53742, 16.45017]","[11.6862, 15.45001]","[10.90522, 16.44093]","[10.92047, 16.8413]","[11.55396, 16.77399]","[12.39967, 16.34889]"
"[150.0, 175.0]","[10.70311, 16.83213]","[11.91668, 15.74524]","[12.44445, 14.97027]","[10.88168, 15.99214]","[11.37281, 14.93478]","[10.22666, 15.75063]","[10.40814, 15.54938]","[11.35216, 14.77795]","[10.66796, 15.67131]","[10.66786, 15.87503]","[10.82569, 15.98416]","[11.72652, 15.45166]"
"[175.0, 200.0]","[10.17959, 15.79577]","[10.59092, 16.03696]","[11.7985, 15.07926]","[10.35329, 16.10075]","[11.12284, 14.45489]","[9.59006, 15.20513]","[9.71902, 14.80109]","[10.48675, 14.23195]","[10.4701, 14.55613]","[10.06761, 15.08864]","[9.91457, 15.26688]","[10.83292, 14.57366]"
"[200.0, 225.0]","[9.39472, 15.31636]","[9.87595, 15.73289]","[10.59919, 15.45999]","[9.42589, 16.22068]","[10.28756, 14.31192]","[9.21792, 14.39334]","[8.95233, 14.28922]","[9.561, 13.91052]","[9.50665, 14.32013]","[9.36775, 14.54951]","[9.14072, 14.6959]","[9.9906, 14.02866]"
"[225.0, 250.0]","[9.00785, 14.07801]","[9.03068, 15.13116]","[8.7004, 16.02974]","[8.33226, 15.95404]","[9.41547, 13.69155]","[8.11758, 13.90064]","[8.06306, 13.60075]","[8.74633, 13.23468]","[8.68991, 13.68497]","[8.64591, 13.7418]","[8.4489, 13.72491]","[8.97439, 13.32605]"
"[250.0, 275.0]","[8.25964, 13.38134]","[8.63161, 14.15453]","[7.14941, 16.23467]","[7.6856, 15.22177]","[8.60822, 13.06223]","[7.31509, 13.24363]","[7.20043, 13.03683]","[8.07046, 12.53502]","[8.01594, 12.99485]","[8.02285, 12.95452]","[7.79085, 12.91005]","[8.19558, 12.61381]"
"[275.0, 300.0]","[7.70506, 12.6092]","[8.25094, 13.12923]","[6.1148, 15.78442]","[7.6748, 13.72712]","[7.95362, 12.2643]","[6.60134, 12.58989]","[6.57607, 12.35129]","[7.5135, 11.78714]","[7.57703, 12.10723]","[7.3343, 12.31075]","[7.2926, 12.09726]","[7.55573, 11.95816]"
"[300.0, 325.0]","[7.21636, 11.89285]","[7.83134, 12.16979]","[5.7442, 14.64312]","[7.27006, 12.63265]","[7.40055, 11.46292]","[6.07574, 11.92024]","[6.12442, 11.66981]","[7.01146, 11.11452]","[7.15128, 11.30315]","[6.73318, 11.69683]","[6.86708, 11.37849]","[7.05995, 11.33848]"
"[325.0, 350.0]","[6.69857, 11.2868]","[7.35104, 11.38934]","[6.03451, 13.00269]","[6.92763, 11.65256]","[6.8986, 10.76235]","[5.65041, 11.26063]","[5.74689, 11.00061]","[6.6064, 10.43861]","[6.79602, 10.54259]","[6.2275, 11.10602]","[6.49392, 10.70631]","[6.60898, 10.75074]"
"[350.0, 375.0]","[6.28067, 10.72506]","[6.86561, 10.75241]","[6.1782, 11.63665]","[6.71438, 10.67178]","[6.4099, 10.17689]","[5.29432, 10.63387]","[5.4286, 10.31557]","[6.24391, 9.70016]","[6.47641, 9.70065]","[5.74517, 10.4782]","[6.1032, 10.10735]","[6.13068, 10.30864]"
"[375.0, 400.0]","[5.93893, 10.14676]","[6.4317, 10.24976]","[6.00579, 10.83325]","[6.44574, 9.93089]","[5.93699, 9.65026]","[5.01245, 9.97864]","[5.13844, 9.74901]","[5.96746, 9.16756]","[5.74829, 9.61047]","[5.35765, 10.00151]","[5.76041, 9.54481]","[5.71633, 9.80373]"
"[400.0, 425.0]","[5.75058, 9.50615]","[5.96741, 9.7581]","[5.64607, 10.13251]","[5.92374, 9.39959]","[5.52582, 9.1097]","[4.76187, 9.36984]","[4.80218, 9.22311]","[5.5373, 8.65368]","[5.42975, 8.92241]","[5.4187, 8.96849]","[4.75887, 9.68167]","[5.48036, 9.24974]"
"[425.0, 450.0]","[5.36773, 10.27677]","[7.80814, 9.49611]","[9.41392, 9.44703]","[8.96014, 9.86686]","[7.60259, 9.38292]","[6.01022, 8.66418]","[5.83458, 7.74888]","[5.63937, 8.59161]","[5.01764, 10.58131]","[5.81241, 10.43791]","[5.87161, 9.91295]","[5.3479, 9.82309]"
