,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[125.0, 150.0]","[3.9349, 4.70502]","[4.07416, 4.48533]","[4.03431, 4.43097]","[3.95529, 4.45232]","[3.96421, 4.43876]","[3.89501, 4.53353]","[3.90668, 4.54569]","[4.0432, 4.42388]","[3.99332, 4.49943]","[3.86502, 4.6826]","[3.99789, 4.6201]","[4.11078, 4.55018]"
"[150.0, 175.0]","[3.87803, 4.64952]","[4.01531, 4.4895]","[4.00684, 4.44268]","[3.94148, 4.45343]","[3.98084, 4.38508]","[3.88124, 4.4809]","[3.92674, 4.43944]","[3.9959, 4.37075]","[3.96532, 4.40627]","[3.86587, 4.53221]","[3.932, 4.51734]","[4.04897, 4.4545]"
"[175.0, 200.0]","[3.87708, 4.57358]","[3.87163, 4.45309]","[3.88432, 4.46853]","[3.85851, 4.4904]","[3.94751, 4.33387]","[3.84243, 4.42351]","[3.85379, 4.37071]","[3.88128, 4.30571]","[3.88118, 4.35788]","[3.83084, 4.44309]","[3.84619, 4.43011]","[3.93497, 4.34639]"
"[200.0, 225.0]","[3.83153, 4.48762]","[3.79343, 4.42581]","[3.75876, 4.51954]","[3.7298, 4.53269]","[3.87196, 4.30276]","[3.77903, 4.35694]","[3.79519, 4.3021]","[3.80335, 4.27143]","[3.77695, 4.34636]","[3.73785, 4.42571]","[3.75823, 4.38883]","[3.84397, 4.29056]"
"[225.0, 250.0]","[3.76148, 4.37619]","[3.71153, 4.34055]","[3.58719, 4.55152]","[3.60713, 4.46577]","[3.75767, 4.25229]","[3.69085, 4.2652]","[3.6963, 4.2326]","[3.72336, 4.19303]","[3.6721, 4.27733]","[3.64398, 4.34894]","[3.65153, 4.3119]","[3.74907, 4.18328]"
"[250.0, 275.0]","[3.69996, 4.27902]","[3.67794, 4.21607]","[3.46119, 4.52333]","[3.53804, 4.36563]","[3.66882, 4.17811]","[3.6097, 4.19063]","[3.61478, 4.17554]","[3.66142, 4.10689]","[3.58731, 4.20366]","[3.57566, 4.26159]","[3.58862, 4.22619]","[3.67946, 4.098]"
"[275.0, 300.0]","[3.62965, 4.19421]","[3.63885, 4.10761]","[3.3688, 4.46552]","[3.52809, 4.21039]","[3.60811, 4.08075]","[3.54644, 4.118]","[3.5534, 4.11328]","[3.60346, 4.02976]","[3.53051, 4.12005]","[3.52177, 4.18284]","[3.55678, 4.11553]","[3.61879, 4.01452]"
"[300.0, 325.0]","[3.57695, 4.10637]","[3.59515, 4.02291]","[3.35171, 4.3337]","[3.50354, 4.10081]","[3.56981, 3.98184]","[3.50041, 4.0438]","[3.51621, 4.03485]","[3.55359, 3.95907]","[3.48051, 4.05175]","[3.46851, 4.12273]","[3.52264, 4.02855]","[3.56966, 3.9357]"
"[325.0, 350.0]","[3.52519, 4.02351]","[3.56086, 3.95741]","[3.36734, 4.19081]","[3.49058, 3.99364]","[3.53679, 3.89534]","[3.46383, 3.97628]","[3.48336, 3.96817]","[3.50103, 3.90145]","[3.43777, 3.99001]","[3.43459, 4.05222]","[3.48444, 3.96806]","[3.53026, 3.8722]"
"[350.0, 375.0]","[3.48247, 3.95504]","[3.52209, 3.90005]","[3.37955, 4.06771]","[3.47508, 3.90257]","[3.49707, 3.82979]","[3.43365, 3.91392]","[3.45565, 3.90248]","[3.4542, 3.84531]","[3.40168, 3.93693]","[3.40523, 3.98437]","[3.45086, 3.89979]","[3.49881, 3.81513]"
"[375.0, 400.0]","[3.46461, 3.87323]","[3.48998, 3.84364]","[3.373, 3.97307]","[3.45757, 3.81752]","[3.45978, 3.77269]","[3.40138, 3.86006]","[3.42411, 3.84646]","[3.41501, 3.78892]","[3.36721, 3.85344]","[3.33733, 3.87803]","[3.4417, 3.80133]","[3.4737, 3.76224]"
"[400.0, 425.0]","[3.44771, 3.83361]","[3.45341, 3.81187]","[3.3772, 3.91127]","[3.44437, 3.76429]","[3.43374, 3.73605]","[3.38411, 3.81545]","[3.38986, 3.80124]","[3.33923, 3.83354]","[3.35388, 3.89629]","[3.38775, 3.83357]","[3.40514, 3.80729]","[3.45063, 3.72598]"
"[425.0, 450.0]","[nan, nan]","[nan, nan]","[nan, nan]","[3.57178, 3.61679]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
