,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[125.0, 150.0]","[35.08802, 36.411]","[35.21249, 36.14778]","[35.19007, 36.08338]","[35.16652, 36.09888]","[35.21918, 36.07812]","[35.14785, 36.16814]","[35.08676, 36.22614]","[35.3238, 36.00604]","[35.27612, 36.13074]","[35.17974, 36.34717]","[35.39816, 36.21866]","[35.51106, 36.09687]"
"[150.0, 175.0]","[35.23155, 36.24737]","[35.37663, 36.04172]","[35.2876, 36.0666]","[35.24179, 36.07597]","[35.31812, 35.98928]","[35.20651, 36.09388]","[35.24225, 36.04229]","[35.37609, 35.89943]","[35.3263, 35.97488]","[35.24449, 36.12426]","[35.36019, 36.08854]","[35.5055, 35.9887]"
"[175.0, 200.0]","[35.2487, 36.0868]","[35.37001, 35.97559]","[35.26141, 36.06317]","[35.18179, 36.10078]","[35.34202, 35.8917]","[35.21101, 35.97855]","[35.23349, 35.92393]","[35.31346, 35.82952]","[35.27039, 35.88133]","[35.20938, 35.9764]","[35.26574, 35.97322]","[35.40277, 35.89263]"
"[200.0, 225.0]","[35.25521, 36.04662]","[35.24535, 35.92093]","[35.11519, 36.14705]","[35.04099, 36.20007]","[35.25864, 35.84998]","[35.17979, 35.89589]","[35.19066, 35.83185]","[35.22322, 35.76107]","[35.18547, 35.86597]","[35.10703, 35.9786]","[35.17201, 35.94125]","[35.28432, 35.81208]"
"[225.0, 250.0]","[35.18979, 35.90285]","[35.13555, 35.84929]","[34.90107, 36.21326]","[34.91372, 36.1014]","[35.12574, 35.79586]","[35.10017, 35.76654]","[35.0872, 35.74808]","[35.14402, 35.66234]","[35.09335, 35.7618]","[35.00851, 35.88615]","[35.06191, 35.83795]","[35.18438, 35.67897]"
"[250.0, 275.0]","[35.12691, 35.78759]","[35.10042, 35.70841]","[34.76177, 36.1746]","[34.87576, 35.94599]","[35.03792, 35.7042]","[35.02378, 35.67315]","[35.01273, 35.67526]","[35.0962, 35.55053]","[35.03343, 35.65362]","[34.94385, 35.77649]","[35.00974, 35.72566]","[35.12569, 35.56895]"
"[275.0, 300.0]","[35.06297, 35.68196]","[35.06867, 35.58277]","[34.68224, 36.08867]","[34.92787, 35.71552]","[35.02064, 35.55796]","[34.9743, 35.58533]","[34.97982, 35.58608]","[35.05787, 35.45642]","[35.00503, 35.54072]","[34.9137, 35.67023]","[34.98788, 35.60246]","[35.08957, 35.46286]"
"[300.0, 325.0]","[35.0332, 35.56993]","[35.04578, 35.48499]","[34.72333, 35.89317]","[34.95569, 35.56066]","[35.0398, 35.41487]","[34.95762, 35.49522]","[34.98647, 35.47597]","[35.03675, 35.37698]","[34.98856, 35.45358]","[34.89712, 35.59086]","[34.99935, 35.48144]","[35.07743, 35.36639]"
"[325.0, 350.0]","[35.01867, 35.46669]","[35.03737, 35.41322]","[34.81933, 35.68128]","[34.99575, 35.42281]","[35.04882, 35.31827]","[34.95575, 35.41884]","[34.99763, 35.38799]","[35.0235, 35.31614]","[34.98353, 35.38236]","[34.90168, 35.5053]","[35.02435, 35.37869]","[35.07236, 35.30062]"
"[350.0, 375.0]","[35.0145, 35.38988]","[35.03647, 35.35099]","[34.90318, 35.51309]","[35.01829, 35.32748]","[35.04954, 35.25508]","[34.95922, 35.35664]","[35.00654, 35.31665]","[35.01085, 35.26994]","[34.98003, 35.33363]","[34.91634, 35.42579]","[35.02836, 35.31156]","[35.068, 35.25599]"
"[375.0, 400.0]","[35.029, 35.3084]","[35.03549, 35.2961]","[34.94145, 35.40511]","[35.0353, 35.25266]","[35.04298, 35.21413]","[34.95916, 35.31158]","[35.00747, 35.26701]","[34.99969, 35.23265]","[34.96452, 35.27976]","[34.92039, 35.31489]","[35.01021, 35.27351]","[35.06197, 35.22104]"
"[400.0, 425.0]","[35.02612, 35.26287]","[35.04305, 35.26084]","[34.97088, 35.32306]","[35.04552, 35.21899]","[35.03249, 35.20193]","[34.94549, 35.2745]","[34.99044, 35.23196]","[34.95476, 35.27528]","[34.96116, 35.27146]","[34.9613, 35.27085]","[34.97386, 35.26583]","[35.05885, 35.20263]"
"[425.0, 450.0]","[nan, nan]","[nan, nan]","[nan, nan]","[35.07527, 35.10018]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
