,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[650.0, 700.0]","[3.25246, 3.72637]","[2.04499, 2.7191]","[1.01324, 1.88756]","[0.87984, 1.95436]","[1.66857, 2.9433]","[2.68317, 4.1581]","[3.7045, 4.27459]","[3.45762, 4.23308]","[3.0586, 3.91098]","[3.31301, 3.64191]","[3.7091, 3.97128]","[3.67358, 4.3618]"
"[700.0, 750.0]","[3.31304, 3.73454]","[2.18199, 2.69641]","[1.16282, 1.77016]","[1.00759, 1.70786]","[1.79942, 2.59261]","[2.87622, 3.76233]","[3.65362, 4.21654]","[3.4634, 4.18553]","[2.97881, 3.93029]","[3.09862, 3.73315]","[3.59622, 3.94937]","[3.76846, 4.21588]"
"[750.0, 800.0]","[3.41533, 3.76077]","[2.2981, 2.79239]","[1.19438, 1.83751]","[0.89824, 1.69022]","[1.58581, 2.52664]","[2.65137, 3.74104]","[3.62408, 4.15676]","[3.48137, 4.19091]","[3.0786, 3.82032]","[3.20155, 3.50302]","[3.56864, 3.8061]","[3.6838, 4.24294]"
"[800.0, 850.0]","[3.23212, 3.69507]","[2.09553, 2.66777]","[1.09826, 1.77979]","[0.97661, 1.76743]","[1.78029, 2.6804]","[2.82732, 3.83671]","[3.67438, 4.12183]","[3.44233, 4.04804]","[2.99282, 3.73963]","[3.07506, 3.61794]","[3.48888, 3.9572]","[3.78579, 4.10013]"
"[850.0, 900.0]","[3.27384, 3.69635]","[2.19387, 2.68252]","[1.18067, 1.73546]","[0.98796, 1.60889]","[1.7378, 2.42488]","[2.80862, 3.56184]","[3.60727, 4.03912]","[3.50312, 3.98689]","[3.03059, 3.73626]","[3.18451, 3.46837]","[3.57391, 3.7633]","[3.6187, 4.19417]"
"[900.0, 950.0]","[3.1299, 3.71102]","[2.03815, 2.64855]","[1.09144, 1.73114]","[1.01805, 1.68703]","[1.85877, 2.55704]","[2.93099, 3.65854]","[3.6194, 4.06738]","[3.40668, 3.9567]","[2.9861, 3.62677]","[3.05367, 3.5397]","[3.5126, 3.84766]","[3.69715, 4.10401]"
"[950.0, 1000.0]","[3.15978, 3.56253]","[2.06873, 2.5134]","[1.14928, 1.63589]","[1.09207, 1.6206]","[1.91107, 2.48153]","[2.93559, 3.54798]","[3.59342, 3.93213]","[3.37922, 3.8516]","[2.98609, 3.5835]","[3.15527, 3.46352]","[3.56084, 3.81293]","[3.53705, 4.20394]"
"[1000.0, 1050.0]","[2.95103, 3.37999]","[1.80482, 2.27717]","[1.01675, 1.53249]","[1.1834, 1.74253]","[2.14024, 2.74276]","[3.11978, 3.76568]","[3.56097, 4.05332]","[3.28441, 3.8179]","[2.95368, 3.54364]","[3.19023, 3.55365]","[3.58804, 3.95977]","[3.61753, 4.06556]"
"[1050.0, 1100.0]","[3.1207, 3.37459]","[2.01819, 2.29953]","[1.15774, 1.46652]","[1.1958, 1.53203]","[2.07798, 2.44165]","[3.0941, 3.48521]","[3.50535, 3.9905]","[3.36812, 3.73658]","[2.97267, 3.47823]","[3.1075, 3.46129]","[3.60304, 3.74268]","[3.34672, 4.28657]"
"[1100.0, 1150.0]","[2.95812, 3.26144]","[1.80586, 2.17705]","[1.02344, 1.4625]","[1.19328, 1.70021]","[2.13886, 2.71366]","[3.09398, 3.73665]","[3.5385, 3.99555]","[3.27731, 3.74081]","[2.99313, 3.43544]","[3.14325, 3.54386]","[3.59431, 3.88633]","[3.53384, 4.05521]"
"[1150.0, 1200.0]","[3.13762, 3.39726]","[2.05463, 2.34232]","[1.16806, 1.48379]","[1.14973, 1.4935]","[1.98833, 2.36014]","[3.00491, 3.40477]","[3.47501, 3.92349]","[3.38478, 3.69012]","[3.0027, 3.42389]","[3.12551, 3.37781]","[3.54485, 3.71474]","[3.29452, 4.29728]"
"[1200.0, 1250.0]","[2.98258, 3.14973]","[1.81942, 2.06293]","[1.05943, 1.37929]","[1.26519, 1.6614]","[2.22706, 2.69963]","[3.16363, 3.71256]","[3.55154, 3.96283]","[3.24985, 3.70894]","[2.98982, 3.39538]","[3.16535, 3.5203]","[3.64515, 3.84594]","[3.55435, 4.00446]"
"[1250.0, 1300.0]","[3.16691, 3.34631]","[2.09778, 2.29015]","[1.22309, 1.42841]","[1.21425, 1.43253]","[2.06221, 2.29345]","[3.08956, 3.33375]","[3.49105, 3.9271]","[3.40105, 3.69194]","[3.03186, 3.40001]","[3.08235, 3.40716]","[3.52461, 3.70648]","[3.3602, 4.20078]"
"[1300.0, 1350.0]","[2.99531, 3.14185]","[1.84248, 2.05351]","[1.08824, 1.36374]","[1.29852, 1.6385]","[2.26887, 2.67333]","[3.21872, 3.68766]","[3.50885, 4.04947]","[3.26039, 3.74185]","[3.0293, 3.38171]","[3.20625, 3.48176]","[3.66453, 3.81554]","[3.59982, 3.9513]"
"[1350.0, 1400.0]","[3.1161, 3.28735]","[2.00192, 2.22909]","[1.15697, 1.44006]","[1.21963, 1.55865]","[2.11059, 2.50553]","[3.10906, 3.55993]","[3.46074, 4.08714]","[3.35946, 3.76793]","[3.07491, 3.39436]","[3.16614, 3.42269]","[3.58004, 3.76389]","[3.44986, 4.1333]"
"[1400.0, 1450.0]","[3.07635, 3.16992]","[1.94725, 2.09764]","[1.16315, 1.37035]","[1.31648, 1.58048]","[2.25762, 2.57843]","[3.23592, 3.61353]","[3.49143, 4.12638]","[3.32443, 3.81266]","[3.12048, 3.39734]","[3.26185, 3.44395]","[3.65535, 3.79348]","[3.69922, 3.86686]"
"[1450.0, 1500.0]","[3.17656, 3.33145]","[2.09753, 2.26787]","[1.243, 1.42879]","[1.27926, 1.4805]","[2.17351, 2.39021]","[3.22369, 3.45584]","[3.5272, 4.13428]","[3.40976, 3.87871]","[3.17967, 3.40157]","[3.16623, 3.44183]","[3.59401, 3.7257]","[3.59128, 4.01347]"
"[1500.0, 1550.0]","[3.31964, 3.3803]","[2.26645, 2.37317]","[1.32952, 1.4823]","[1.22481, 1.42365]","[2.02492, 2.26982]","[3.08896, 3.37992]","[3.57455, 4.0716]","[3.54754, 3.8621]","[3.23098, 3.43243]","[3.1817, 3.3679]","[3.55441, 3.64571]","[3.73989, 3.86012]"
"[1550.0, 1600.0]","[3.17921, 3.3582]","[2.11672, 2.31046]","[1.2514, 1.45989]","[1.25701, 1.48025]","[2.1284, 2.36639]","[3.18456, 3.4373]","[3.61546, 4.04531]","[3.52961, 3.80687]","[3.17955, 3.44744]","[3.2203, 3.38985]","[3.58793, 3.6992]","[3.60657, 3.97888]"
"[1600.0, 1650.0]","[3.27768, 3.51335]","[2.25903, 2.49066]","[1.31034, 1.53793]","[1.17898, 1.40254]","[1.98025, 2.19977]","[3.08692, 3.30241]","[3.69125, 3.94092]","[3.56689, 3.8495]","[3.20194, 3.42406]","[3.11176, 3.34627]","[3.50748, 3.60913]","[3.71898, 3.88016]"
"[1650.0, 1700.0]","[3.1658, 3.36084]","[2.11694, 2.33237]","[1.24305, 1.47886]","[1.221, 1.47719]","[2.06397, 2.34056]","[3.10792, 3.40489]","[3.6738, 3.89342]","[3.49909, 3.76613]","[3.07962, 3.479]","[3.15587, 3.3718]","[3.51828, 3.68239]","[3.55735, 3.96904]"
"[1700.0, 1750.0]","[3.23187, 3.50489]","[2.21477, 2.51534]","[1.25093, 1.57907]","[1.0866, 1.44229]","[1.85009, 2.23334]","[2.92944, 3.34024]","[3.61179, 3.90671]","[3.48848, 3.83085]","[3.10412, 3.4288]","[3.04878, 3.30453]","[3.40379, 3.60082]","[3.64029, 3.8646]"
"[1750.0, 1800.0]","[3.10221, 3.46387]","[2.0934, 2.48255]","[1.17483, 1.59147]","[1.05278, 1.49691]","[1.81846, 2.29008]","[2.86139, 3.36051]","[3.55735, 3.83853]","[3.42854, 3.76295]","[3.06916, 3.3976]","[3.01095, 3.33258]","[3.3758, 3.60341]","[3.47192, 3.92829]"
"[1800.0, 1850.0]","[3.13355, 3.50231]","[2.14514, 2.54045]","[1.18946, 1.61132]","[1.00433, 1.45275]","[1.73227, 2.20724]","[2.78583, 3.28736]","[3.48164, 3.83416]","[3.38368, 3.75776]","[3.00742, 3.36708]","[2.90578, 3.28531]","[3.26654, 3.56675]","[3.5465, 3.80485]"
"[1850.0, 1900.0]","[2.92098, 3.38925]","[1.93087, 2.40477]","[1.08222, 1.56174]","[1.03579, 1.52094]","[1.82707, 2.31784]","[2.83297, 3.32936]","[3.44002, 3.76016]","[3.30815, 3.6246]","[2.95812, 3.29422]","[2.93098, 3.27854]","[3.30629, 3.55707]","[3.34999, 3.86803]"
"[1900.0, 1950.0]","[3.11095, 3.40711]","[2.17024, 2.49458]","[1.21608, 1.56859]","[0.98617, 1.36685]","[1.6601, 2.06895]","[2.68951, 3.12653]","[3.36633, 3.71684]","[3.30699, 3.64036]","[2.9026, 3.27043]","[2.7856, 3.15368]","[3.09746, 3.45484]","[3.34959, 3.77019]"
"[1950.0, 2000.0]","[2.61625, 3.05138]","[1.59301, 2.02656]","[0.93673, 1.3687]","[1.16084, 1.59124]","[2.07702, 2.50585]","[2.97417, 3.40142]","[3.30949, 3.66568]","[3.08269, 3.3952]","[2.81326, 3.13539]","[2.9386, 3.26539]","[3.36897, 3.54957]","[3.21343, 3.75575]"
"[2000.0, 2100.0]","[2.83014, 3.20242]","[1.90267, 2.28256]","[1.07021, 1.4577]","[0.98092, 1.37602]","[1.70445, 2.10715]","[2.66651, 3.07682]","[3.22137, 3.5609]","[3.11015, 3.44642]","[2.74332, 3.14217]","[2.74536, 3.05573]","[3.06749, 3.35196]","[3.14575, 3.67038]"
"[2100.0, 2200.0]","[2.5676, 3.05803]","[1.65952, 2.15044]","[0.9211, 1.41251]","[0.9302, 1.42211]","[1.67798, 2.17037]","[2.57758, 3.07047]","[3.04785, 3.46118]","[2.90165, 3.31162]","[2.55701, 3.05586]","[2.6541, 2.97474]","[2.88464, 3.35958]","[2.98562, 3.53565]"
"[2200.0, 2300.0]","[2.12084, 2.90877]","[1.23108, 1.9912]","[0.65303, 1.38535]","[0.85788, 1.56238]","[1.68957, 2.36627]","[2.51157, 3.16046]","[2.84596, 3.36469]","[2.60246, 3.13469]","[2.24449, 2.96872]","[2.40136, 3.003]","[2.68773, 3.3619]","[2.75542, 3.38585]"
"[2300.0, 2400.0]","[1.45702, 2.64589]","[0.57328, 1.72436]","[0.22652, 1.33982]","[0.72006, 1.79557]","[1.66756, 2.70528]","[2.3557, 3.35563]","[2.43133, 3.33044]","[2.06747, 2.96149]","[1.75625, 2.882]","[2.10151, 3.00352]","[2.3609, 3.42499]","[2.32111, 3.24831]"
"[2400.0, 2500.0]","[0.71997, 2.18897]","[-0.11125, 1.35501]","[-0.22914, 1.23436]","[0.49182, 1.95257]","[1.47494, 2.93293]","[1.97971, 3.43494]","[1.87369, 3.13412]","[1.40662, 2.65752]","[1.13694, 2.65446]","[1.57406, 2.87575]","[1.68442, 3.41076]","[1.62405, 2.97564]"
"[2500.0, 2600.0]","[0.85661, 1.98214]","[0.17826, 1.33691]","[-0.05092, 1.14084]","[0.37384, 1.59871]","[1.11309, 2.37107]","[1.59529, 2.88638]","[1.57315, 2.82909]","[1.2419, 2.46763]","[0.99943, 2.32774]","[1.29309, 2.36014]","[1.45635, 2.70156]","[1.21453, 2.75346]"
