,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[150.0, 175.0]","[4.50405, 4.88886]","[4.43189, 4.92098]","[4.35973, 4.95309]","[4.28758, 4.98521]","[4.21542, 5.01733]","[3.75995, 6.03152]","[2.85115, 7.46459]","[2.59426, 7.48687]","[2.77505, 7.07535]","[3.51028, 6.02414]","[4.51353, 5.25835]","[4.4436, 4.99366]"
"[175.0, 200.0]","[2.9665, 3.75389]","[1.39805, 2.49074]","[0.66063, 2.05861]","[1.2334, 2.93667]","[2.59188, 4.60045]","[3.67863, 5.99248]","[4.82746, 5.4698]","[2.99641, 6.56678]","[2.84614, 6.12457]","[3.37778, 5.94575]","[4.54511, 5.32181]","[4.33404, 4.81614]"
"[200.0, 225.0]","[2.72164, 3.29116]","[1.48759, 2.02336]","[1.31633, 1.81835]","[2.34525, 2.81353]","[3.74434, 4.17887]","[3.91826, 5.47741]","[4.27287, 4.73481]","[3.39027, 4.59057]","[3.09539, 4.7865]","[3.64944, 5.26185]","[4.53251, 5.14304]","[4.03751, 4.64078]"
"[225.0, 250.0]","[3.89229, 4.29523]","[3.97424, 4.34966]","[4.05619, 4.40409]","[4.13814, 4.45851]","[4.22009, 4.51294]","[3.63039, 4.96181]","[2.37646, 6.74954]","[2.20008, 7.37447]","[2.41149, 6.52122]","[3.20826, 5.31067]","[3.95446, 4.76145]","[3.97048, 4.48231]"
"[250.0, 275.0]","[4.38601, 4.38601]","[3.16506, 3.49026]","[1.65729, 2.30768]","[0.93181, 1.9074]","[1.50643, 2.80721]","[2.8419, 4.46789]","[2.82047, 6.78702]","[3.55865, 6.29845]","[2.35423, 6.32095]","[3.01102, 4.78471]","[3.96428, 4.22411]","[4.37964, 4.68488]"
"[275.0, 300.0]","[2.75213, 3.29166]","[1.31028, 2.09905]","[0.59271, 1.63072]","[1.07509, 2.36233]","[2.29368, 3.83016]","[3.27074, 5.05645]","[3.47076, 5.35276]","[3.52344, 4.55856]","[3.1309, 4.40609]","[2.94078, 5.02733]","[4.03409, 4.62359]","[3.94747, 4.23776]"
"[300.0, 325.0]","[1.98968, 2.26192]","[1.19509, 1.43576]","[1.60126, 1.81037]","[2.8983, 3.07585]","[4.08488, 4.23086]","[3.97359, 4.92992]","[3.66918, 4.32134]","[3.15934, 3.97813]","[3.22042, 4.25797]","[3.69492, 4.81646]","[4.17502, 4.46858]","[3.31516, 3.61896]"
"[325.0, 350.0]","[3.50899, 3.6412]","[2.63828, 2.79211]","[2.12443, 2.29989]","[2.40936, 2.60643]","[3.3146, 3.5333]","[4.0397, 4.57739]","[3.47972, 5.75534]","[3.50777, 5.22687]","[2.47507, 5.58751]","[3.24414, 4.76905]","[4.06105, 4.34024]","[4.03178, 4.27846]"
"[350.0, 375.0]","[2.18842, 2.30351]","[1.39256, 1.52223]","[1.6517, 1.79594]","[2.77071, 2.92954]","[3.9143, 4.0877]","[3.84022, 5.07631]","[2.88057, 5.56566]","[2.3288, 5.45535]","[2.68646, 5.24085]","[3.86632, 4.7236]","[4.18272, 4.34466]","[3.41816, 3.51868]"
"[375.0, 400.0]","[2.95615, 3.30898]","[1.56969, 2.09363]","[0.8559, 1.55095]","[1.3475, 2.21367]","[2.60831, 3.64558]","[3.6316, 4.83999]","[3.94893, 4.94231]","[3.38924, 4.57427]","[3.36528, 3.86358]","[3.2164, 4.39657]","[4.1187, 4.3311]","[4.02075, 4.20246]"
"[400.0, 425.0]","[2.07204, 2.25991]","[1.27759, 1.43818]","[1.56879, 1.70209]","[2.73365, 2.83967]","[3.88313, 3.96186]","[3.97862, 4.61266]","[3.71478, 4.17267]","[3.38256, 3.70067]","[3.39, 3.89005]","[3.84993, 4.30001]","[4.04597, 4.25269]","[3.29264, 3.5078]"
"[425.0, 450.0]","[3.31081, 3.39264]","[2.07825, 2.15443]","[1.30119, 1.37175]","[1.618, 1.68292]","[2.7866, 2.84589]","[3.90728, 3.96094]","[3.96376, 4.5865]","[3.90588, 3.90588]","[3.49642, 3.52886]","[3.49183, 3.76849]","[3.98919, 4.14884]","[4.03423, 4.2143]"
"[450.0, 475.0]","[4.0067, 4.0067]","[3.96301, 3.97851]","[3.91932, 3.95033]","[3.87564, 3.92214]","[3.83195, 3.89396]","[3.43566, 4.3463]","[3.16922, 4.82468]","[3.04606, 5.1241]","[3.12284, 4.77766]","[3.53882, 4.10817]","[3.56392, 4.11354]","[3.75853, 3.79539]"
"[475.0, 500.0]","[2.62736, 2.90937]","[1.4251, 1.84392]","[0.83335, 1.38899]","[1.26528, 1.95773]","[2.36558, 3.19485]","[3.3269, 4.29299]","[3.7051, 4.59861]","[3.6051, 4.26604]","[3.29825, 4.12821]","[3.49801, 4.13668]","[3.90861, 4.08895]","[3.64213, 3.78732]"
"[500.0, 550.0]","[3.59015, 3.61664]","[3.47929, 3.51583]","[3.46621, 3.51279]","[3.56218, 3.61881]","[3.69344, 3.76011]","[3.55822, 4.0538]","[3.63765, 3.95808]","[3.62649, 3.87595]","[3.5723, 3.89648]","[3.54413, 3.97785]","[3.67419, 3.8802]","[3.66883, 3.77686]"
"[550.0, 600.0]","[3.81729, 3.81729]","[3.78028, 3.80516]","[3.74326, 3.79303]","[3.70625, 3.78089]","[3.66923, 3.76876]","[3.35374, 4.08418]","[3.15477, 4.32844]","[3.05694, 4.43057]","[3.16978, 4.22204]","[3.50109, 3.88655]","[3.5466, 3.84239]","[3.51965, 3.74072]"
"[600.0, 650.0]","[3.41794, 3.58548]","[3.34837, 3.49334]","[3.34796, 3.47036]","[3.42853, 3.52836]","[3.53837, 3.61563]","[3.37385, 3.89929]","[3.46481, 3.80021]","[3.50062, 3.69748]","[3.47148, 3.70252]","[3.39143, 3.82513]","[3.53102, 3.71706]","[3.49905, 3.67738]"
"[650.0, 700.0]","[3.59249, 3.59249]","[3.56184, 3.58348]","[3.53119, 3.57446]","[3.50054, 3.56544]","[3.46989, 3.55642]","[3.26164, 3.80753]","[3.12862, 3.96135]","[3.02758, 4.06384]","[3.13457, 3.90196]","[3.32975, 3.67724]","[3.43807, 3.59632]","[3.38664, 3.59292]"
"[700.0, 750.0]","[3.12746, 3.24585]","[2.74083, 2.86482]","[2.56017, 2.68977]","[2.73215, 2.86736]","[3.12175, 3.26257]","[3.30311, 3.71649]","[3.4343, 3.70278]","[3.25338, 3.62832]","[3.21676, 3.47957]","[3.21182, 3.61689]","[3.45821, 3.60873]","[3.41388, 3.55887]"
"[750.0, 800.0]","[3.3755, 3.3755]","[3.3531, 3.36547]","[3.33071, 3.35544]","[3.30832, 3.34541]","[3.28593, 3.33538]","[3.10965, 3.53151]","[3.00974, 3.64734]","[2.94565, 3.72596]","[3.01952, 3.59753]","[3.18744, 3.41312]","[3.2326, 3.39232]","[3.23041, 3.40604]"
"[800.0, 850.0]","[3.09966, 3.27273]","[3.11322, 3.26714]","[3.12678, 3.26156]","[3.14035, 3.25597]","[3.15391, 3.25038]","[3.02211, 3.47175]","[3.03784, 3.4724]","[3.05061, 3.40541]","[3.05915, 3.40339]","[3.03639, 3.42665]","[3.18588, 3.33345]","[3.13413, 3.31222]"
"[850.0, 900.0]","[3.1761, 3.1761]","[3.15319, 3.16763]","[3.13029, 3.15916]","[3.10739, 3.15069]","[3.08448, 3.14223]","[2.91482, 3.34723]","[2.88315, 3.36146]","[2.84603, 3.41446]","[2.88672, 3.30971]","[3.00741, 3.20646]","[2.99093, 3.27686]","[3.04194, 3.22477]"
"[900.0, 950.0]","[3.02779, 3.0824]","[3.01051, 3.08386]","[2.99323, 3.08533]","[2.97595, 3.0868]","[2.95867, 3.08827]","[2.86541, 3.28992]","[2.8455, 3.34232]","[2.80874, 3.353]","[2.84784, 3.29761]","[2.88187, 3.23358]","[3.00783, 3.16432]","[2.95971, 3.13717]"
"[950.0, 1000.0]","[2.944, 3.01]","[2.93641, 3.00103]","[2.92883, 2.99206]","[2.92125, 2.98309]","[2.91367, 2.97412]","[2.76458, 3.15365]","[2.74696, 3.16794]","[2.71756, 3.20973]","[2.74289, 3.1076]","[2.8363, 3.02798]","[2.81224, 3.10509]","[2.89078, 3.02278]"
"[1000.0, 1050.0]","[2.8445, 2.9186]","[2.83776, 2.92196]","[2.83102, 2.92532]","[2.82429, 2.92868]","[2.81755, 2.93204]","[2.73615, 3.10907]","[2.73057, 3.11022]","[2.68569, 3.15612]","[2.72063, 3.10085]","[2.74302, 3.07174]","[2.84192, 2.99591]","[2.81083, 2.96846]"
"[1050.0, 1100.0]","[2.80399, 2.8526]","[2.79048, 2.84215]","[2.77696, 2.83171]","[2.76344, 2.82127]","[2.74993, 2.81082]","[2.64859, 3.00665]","[2.66935, 2.89251]","[2.64728, 2.91812]","[2.63764, 2.89497]","[2.68174, 2.90799]","[2.6658, 2.9601]","[2.74381, 2.84975]"
"[1100.0, 1150.0]","[2.69359, 2.7752]","[2.69007, 2.77145]","[2.68654, 2.7677]","[2.68302, 2.76395]","[2.6795, 2.7602]","[2.6039, 2.92755]","[2.5961, 2.97289]","[2.56847, 3.01078]","[2.5992, 2.93382]","[2.62609, 2.89828]","[2.68147, 2.84591]","[2.65868, 2.82944]"
"[1150.0, 1200.0]","[2.54728, 2.60248]","[2.29038, 2.35192]","[2.14972, 2.21759]","[2.23829, 2.3125]","[2.47944, 2.55998]","[2.5542, 2.8916]","[2.65233, 2.85641]","[2.55326, 2.76225]","[2.50047, 2.67389]","[2.49891, 2.77651]","[2.5922, 2.89528]","[2.65133, 2.8459]"
"[1200.0, 1250.0]","[2.5813, 2.6548]","[2.56434, 2.65209]","[2.54739, 2.64938]","[2.53044, 2.64667]","[2.51348, 2.64396]","[2.49002, 2.77293]","[2.49211, 2.79917]","[2.46603, 2.83258]","[2.49594, 2.766]","[2.51888, 2.74484]","[2.55428, 2.71571]","[2.53564, 2.70079]"
"[1250.0, 1300.0]","[2.55229, 2.5796]","[2.53036, 2.58184]","[2.50843, 2.58409]","[2.48649, 2.58634]","[2.46456, 2.58859]","[2.43754, 2.71297]","[2.4273, 2.62483]","[2.41951, 2.62746]","[2.39408, 2.64164]","[2.40809, 2.70072]","[2.48565, 2.66714]","[2.45402, 2.64004]"
"[1300.0, 1350.0]","[2.58201, 2.63031]","[2.69583, 2.75645]","[2.7168, 2.78973]","[2.61888, 2.70414]","[2.47658, 2.57415]","[2.32958, 2.57039]","[2.35319, 2.5955]","[2.39369, 2.69032]","[2.45258, 2.67974]","[2.42471, 2.61844]","[2.39364, 2.54653]","[2.42273, 2.56562]"
"[1350.0, 1400.0]","[2.4447, 2.4606]","[2.42668, 2.45816]","[2.40866, 2.45572]","[2.39064, 2.45328]","[2.37263, 2.45084]","[2.34037, 2.58031]","[2.30685, 2.55259]","[2.3187, 2.51753]","[2.28337, 2.56709]","[2.31556, 2.56081]","[2.3607, 2.55629]","[2.35086, 2.52321]"
"[1400.0, 1450.0]","[2.47125, 2.48535]","[2.52795, 2.53852]","[2.51486, 2.52191]","[2.44039, 2.44391]","[2.36605, 2.36605]","[2.2582, 2.43612]","[2.28888, 2.48342]","[2.31185, 2.55108]","[2.34712, 2.52143]","[2.31536, 2.4811]","[2.29795, 2.45023]","[2.35202, 2.458]"
"[1450.0, 1500.0]","[2.3361, 2.36249]","[2.3191, 2.37284]","[2.30211, 2.38318]","[2.28512, 2.39352]","[2.26813, 2.40386]","[2.25056, 2.46536]","[2.2029, 2.4978]","[2.19402, 2.47558]","[2.19823, 2.49371]","[2.24287, 2.41846]","[2.26521, 2.43438]","[2.27276, 2.40465]"
"[1500.0, 1550.0]","[2.2892, 2.3246]","[2.28222, 2.32997]","[2.27525, 2.33534]","[2.26828, 2.34071]","[2.2613, 2.34609]","[2.21752, 2.38264]","[2.22046, 2.38457]","[2.2091, 2.40206]","[2.22058, 2.37887]","[2.23184, 2.36852]","[2.24042, 2.37484]","[2.2509, 2.3489]"
"[1550.0, 1600.0]","[2.22189, 2.3029]","[2.21176, 2.30216]","[2.20163, 2.30142]","[2.1915, 2.30068]","[2.18137, 2.29994]","[2.15783, 2.36662]","[2.13554, 2.38935]","[2.11631, 2.37679]","[2.13295, 2.3859]","[2.14734, 2.36045]","[2.2346, 2.30439]","[2.17406, 2.31775]"
"[1600.0, 1650.0]","[2.25681, 2.26041]","[2.33305, 2.349]","[2.36351, 2.3918]","[2.31799, 2.35863]","[2.22847, 2.28146]","[2.11668, 2.26684]","[2.1141, 2.25795]","[2.14676, 2.28897]","[2.16627, 2.30757]","[2.16156, 2.27387]","[2.12813, 2.2455]","[2.14757, 2.24108]"
"[1650.0, 1700.0]","[2.1347, 2.23459]","[2.12996, 2.22426]","[2.12523, 2.21393]","[2.1205, 2.2036]","[2.11577, 2.19327]","[2.08367, 2.28241]","[2.0696, 2.30092]","[2.03569, 2.29844]","[2.06981, 2.29383]","[2.07067, 2.27981]","[2.13179, 2.22016]","[2.10186, 2.22161]"
