,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[0.0, 5.0]","[34.58441, 34.58605]","[34.01075, 34.7249]","[31.44178, 35.23163]","[28.97347, 35.83901]","[29.30902, 35.2974]","[25.13464, 40.65452]","[30.09737, 36.67024]","[30.63718, 35.68749]","[31.61892, 33.28138]","[32.04042, 32.11194]","[30.50341, 34.73275]","[33.75415, 33.78588]"
"[5.0, 10.0]","[35.03811, 35.04289]","[34.3087, 34.63942]","[nan, nan]","[29.16022, 33.11578]","[30.12225, 32.53356]","[25.08234, 40.60667]","[31.27349, 36.93469]","[30.01656, 37.74517]","[31.09022, 33.95715]","[30.55736, 32.5897]","[30.96601, 33.38058]","[33.05443, 34.69202]"
"[10.0, 15.0]","[34.68232, 35.84724]","[33.95651, 35.48339]","[nan, nan]","[30.00956, 33.09738]","[30.97316, 32.85839]","[26.7887, 40.20179]","[32.05084, 37.15771]","[30.74703, 37.40217]","[31.25466, 33.6282]","[30.1251, 32.68847]","[31.14692, 33.09106]","[33.13907, 34.84877]"
"[15.0, 20.0]","[34.18231, 36.84941]","[32.63524, 37.68723]","[nan, nan]","[31.31637, 33.09608]","[31.44239, 33.21937]","[27.56733, 39.60378]","[31.84731, 37.19085]","[31.35858, 36.76754]","[31.52861, 33.74419]","[28.12057, 35.35215]","[29.42177, 35.42294]","[32.3828, 36.04492]"
"[20.0, 25.0]","[33.93879, 36.59714]","[33.36172, 36.05322]","[nan, nan]","[28.73347, 35.50682]","[31.52747, 33.2201]","[28.0359, 39.00228]","[31.5713, 36.96907]","[31.91021, 35.72502]","[31.49302, 33.8139]","[27.83605, 36.30124]","[31.39543, 34.26072]","[33.30807, 35.40683]"
"[25.0, 30.0]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[33.09656, 33.60331]","[30.77357, 33.52037]","[nan, nan]","[nan, nan]","[nan, nan]"
"[30.0, 35.0]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[30.89705, 33.42442]","[nan, nan]","[nan, nan]","[nan, nan]"
