,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[700.0, 750.0]","[3.14465, 3.14852]","[3.09897, 3.10415]","[3.07774, 3.08425]","[3.09787, 3.10569]","[3.14284, 3.15198]","[3.16507, 3.2016]","[3.18223, 3.19484]","[3.15875, 3.18639]","[3.15445, 3.16961]","[3.15715, 3.1851]","[3.18219, 3.19078]","[3.17768, 3.18567]"
"[750.0, 800.0]","[3.17413, 3.17413]","[3.17262, 3.17359]","[3.17111, 3.17306]","[3.1696, 3.17253]","[3.16809, 3.172]","[3.15166, 3.1887]","[3.14475, 3.19706]","[3.1401, 3.20263]","[3.14578, 3.19233]","[3.15768, 3.17887]","[3.16264, 3.1755]","[3.16238, 3.17447]"
"[800.0, 850.0]","[3.15712, 3.16684]","[3.15825, 3.16722]","[3.15938, 3.1676]","[3.16051, 3.16797]","[3.16164, 3.16835]","[3.14704, 3.18476]","[3.14909, 3.18129]","[3.14998, 3.1782]","[3.15192, 3.1766]","[3.151, 3.17848]","[3.16225, 3.17077]","[3.15866, 3.16942]"
"[850.0, 900.0]","[3.16522, 3.16522]","[3.16366, 3.16479]","[3.1621, 3.16436]","[3.16055, 3.16393]","[3.15899, 3.1635]","[3.14355, 3.17951]","[3.14142, 3.18098]","[3.13837, 3.1846]","[3.14198, 3.1757]","[3.14979, 3.16929]","[3.15158, 3.17053]","[3.15373, 3.16712]"
"[900.0, 950.0]","[3.1551, 3.15883]","[3.1544, 3.15964]","[3.1537, 3.16045]","[3.153, 3.16126]","[3.1523, 3.16208]","[3.14097, 3.17697]","[3.13801, 3.18007]","[3.13729, 3.18007]","[3.14032, 3.17574]","[3.14426, 3.17012]","[3.15367, 3.16382]","[3.15116, 3.16154]"
"[950.0, 1000.0]","[3.15175, 3.15682]","[3.15171, 3.15681]","[3.15168, 3.15681]","[3.15164, 3.1568]","[3.15161, 3.1568]","[3.13799, 3.16994]","[3.13686, 3.17192]","[3.134, 3.17488]","[3.1368, 3.16569]","[3.14581, 3.15637]","[3.14387, 3.162]","[3.14864, 3.15614]"
"[1000.0, 1050.0]","[3.14676, 3.15149]","[3.14684, 3.15264]","[3.14693, 3.15378]","[3.14701, 3.15492]","[3.1471, 3.15606]","[3.13622, 3.16902]","[3.13465, 3.16848]","[3.13327, 3.1704]","[3.13545, 3.16702]","[3.13866, 3.16345]","[3.1463, 3.15623]","[3.14468, 3.15449]"
"[1050.0, 1100.0]","[3.14504, 3.15164]","[3.14507, 3.15107]","[3.14511, 3.1505]","[3.14515, 3.14993]","[3.14519, 3.14937]","[3.13501, 3.16372]","[3.13721, 3.15473]","[3.13479, 3.15656]","[3.1348, 3.154]","[3.13851, 3.1534]","[3.13747, 3.15661]","[3.1415, 3.1495]"
"[1100.0, 1150.0]","[3.14056, 3.14575]","[3.14099, 3.14634]","[3.14143, 3.14693]","[3.14186, 3.14752]","[3.1423, 3.14811]","[3.13124, 3.16049]","[3.12993, 3.16384]","[3.12907, 3.16575]","[3.13161, 3.15962]","[3.13505, 3.15546]","[3.13923, 3.15024]","[3.13819, 3.14915]"
"[1150.0, 1200.0]","[3.13531, 3.14119]","[3.12391, 3.12969]","[3.11771, 3.12338]","[3.12205, 3.12762]","[3.13346, 3.13892]","[3.13254, 3.15859]","[3.13869, 3.15487]","[3.13351, 3.15014]","[3.13267, 3.14341]","[3.12921, 3.151]","[3.13558, 3.15473]","[3.13988, 3.15175]"
"[1200.0, 1250.0]","[3.13724, 3.14159]","[3.1367, 3.1423]","[3.13616, 3.14302]","[3.13562, 3.14374]","[3.13508, 3.14446]","[3.1275, 3.154]","[3.1273, 3.15609]","[3.12645, 3.15772]","[3.12908, 3.15203]","[3.1305, 3.15057]","[3.13433, 3.14587]","[3.13406, 3.14443]"
"[1250.0, 1300.0]","[3.13514, 3.14235]","[3.13489, 3.14242]","[3.13464, 3.14249]","[3.13438, 3.14256]","[3.13413, 3.14263]","[3.12934, 3.15143]","[3.12927, 3.14305]","[3.12791, 3.14456]","[3.12865, 3.14245]","[3.12472, 3.1508]","[3.13303, 3.14418]","[3.13111, 3.14237]"
"[1300.0, 1350.0]","[3.13469, 3.13745]","[3.13395, 3.13779]","[3.13322, 3.13813]","[3.13249, 3.13847]","[3.13176, 3.13881]","[3.12506, 3.14825]","[3.12521, 3.14941]","[3.12449, 3.15045]","[3.12698, 3.14594]","[3.12764, 3.14531]","[3.1305, 3.142]","[3.13126, 3.1398]"
"[1350.0, 1400.0]","[3.13016, 3.14009]","[3.13062, 3.13943]","[3.13108, 3.13877]","[3.13154, 3.13811]","[3.132, 3.13745]","[3.12738, 3.14618]","[3.12439, 3.14321]","[3.12535, 3.14119]","[3.12459, 3.14207]","[3.12306, 3.14507]","[3.12904, 3.14063]","[3.12818, 3.13854]"
"[1400.0, 1450.0]","[3.13266, 3.13314]","[3.13214, 3.1325]","[3.13163, 3.13187]","[3.13111, 3.13123]","[3.1306, 3.1306]","[3.12346, 3.14261]","[3.12373, 3.14348]","[3.1231, 3.14429]","[3.12584, 3.14004]","[3.12635, 3.13986]","[3.12735, 3.13863]","[3.12941, 3.13559]"
"[1450.0, 1500.0]","[3.12689, 3.13754]","[3.12776, 3.13679]","[3.12864, 3.13604]","[3.12952, 3.13529]","[3.1304, 3.13454]","[3.12611, 3.14135]","[3.122, 3.14288]","[3.12167, 3.14176]","[3.12191, 3.14221]","[3.1226, 3.13929]","[3.12654, 3.13672]","[3.12681, 3.13462]"
"[1500.0, 1550.0]","[3.12929, 3.13142]","[3.12917, 3.13217]","[3.12906, 3.13293]","[3.12894, 3.13368]","[3.12883, 3.13444]","[3.12142, 3.13942]","[3.12234, 3.1392]","[3.12193, 3.14002]","[3.12385, 3.1364]","[3.12489, 3.13559]","[3.12535, 3.13526]","[3.12678, 3.13282]"
"[1550.0, 1600.0]","[3.12319, 3.13756]","[3.12403, 3.13643]","[3.12488, 3.1353]","[3.12573, 3.13417]","[3.12657, 3.13304]","[3.12411, 3.13869]","[3.12096, 3.14008]","[3.12039, 3.13918]","[3.12087, 3.13961]","[3.12103, 3.13899]","[3.12678, 3.13354]","[3.12451, 3.13231]"
"[1600.0, 1650.0]","[3.12728, 3.12732]","[3.12733, 3.12832]","[3.12738, 3.12933]","[3.12742, 3.13034]","[3.12747, 3.13135]","[3.11972, 3.13582]","[3.12101, 3.13505]","[3.12163, 3.13488]","[3.123, 3.13277]","[3.12414, 3.1315]","[3.1236, 3.13245]","[3.12479, 3.13042]"
"[1650.0, 1700.0]","[3.12138, 3.13694]","[3.12227, 3.13538]","[3.12317, 3.13382]","[3.12407, 3.13225]","[3.12497, 3.13069]","[3.12355, 3.13644]","[3.12047, 3.13818]","[3.11918, 3.13781]","[3.12049, 3.1378]","[3.12026, 3.13705]","[3.1244, 3.13095]","[3.12348, 3.12954]"
"[1700.0, 1750.0]","[3.12499, 3.12579]","[3.12495, 3.12691]","[3.12491, 3.12803]","[3.12487, 3.12915]","[3.12483, 3.13027]","[3.11858, 3.13289]","[3.12096, 3.13086]","[3.12176, 3.13055]","[3.12203, 3.13]","[3.1223, 3.12993]","[3.12222, 3.13017]","[3.12305, 3.12853]"
"[1750.0, 1800.0]","[3.11995, 3.1327]","[3.12127, 3.13138]","[3.1226, 3.13007]","[3.12392, 3.12876]","[3.12525, 3.12745]","[3.12297, 3.13362]","[3.11952, 3.13687]","[3.11994, 3.1362]","[3.11988, 3.13541]","[3.11994, 3.1347]","[3.12289, 3.12862]","[3.12182, 3.12883]"
"[1800.0, 1850.0]","[3.1255, 3.1258]","[3.12751, 3.12849]","[3.129, 3.13067]","[3.12861, 3.13097]","[3.12651, 3.12956]","[3.1197, 3.13241]","[3.1208, 3.12969]","[3.12207, 3.12929]","[3.12273, 3.12971]","[3.12201, 3.1297]","[3.12158, 3.12809]","[3.12166, 3.12722]"
"[1850.0, 1900.0]","[3.11641, 3.13357]","[3.1181, 3.13195]","[3.1198, 3.13033]","[3.1215, 3.12872]","[3.1232, 3.1271]","[3.12324, 3.13221]","[3.11875, 3.1359]","[3.12061, 3.13387]","[3.11949, 3.13241]","[3.11992, 3.13294]","[3.12234, 3.1269]","[3.12097, 3.12764]"
"[1900.0, 1950.0]","[3.12482, 3.12563]","[3.12764, 3.12913]","[3.12941, 3.13158]","[3.12833, 3.13118]","[3.12505, 3.12857]","[3.11869, 3.12952]","[3.12009, 3.1271]","[3.12185, 3.12808]","[3.12291, 3.12948]","[3.12206, 3.12939]","[3.12106, 3.12721]","[3.12117, 3.12583]"
"[1950.0, 2000.0]","[3.11691, 3.13263]","[3.11828, 3.13143]","[3.11966, 3.13023]","[3.12104, 3.12904]","[3.12241, 3.12784]","[3.12326, 3.13119]","[3.11867, 3.13431]","[3.12051, 3.13264]","[3.11925, 3.13172]","[3.12002, 3.13176]","[3.12191, 3.12627]","[3.12218, 3.12563]"
"[2000.0, 2100.0]","[3.11855, 3.12958]","[3.11972, 3.12901]","[3.12088, 3.12844]","[3.12205, 3.12787]","[3.12321, 3.12729]","[3.1185, 3.13158]","[3.11922, 3.13082]","[3.11979, 3.12987]","[3.12078, 3.12795]","[3.1202, 3.12925]","[3.12154, 3.12701]","[3.12189, 3.12572]"
