,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[125.0, 150.0]","[11.12668, 17.66121]","[12.29081, 15.83958]","[12.06577, 15.21068]","[11.28598, 15.41661]","[11.22966, 15.38859]","[10.68817, 16.16582]","[10.89944, 16.19947]","[11.9888, 15.24293]","[11.58619, 15.82269]","[10.44793, 17.38271]","[11.51981, 16.91986]","[12.50372, 16.377]"
"[150.0, 175.0]","[10.48833, 17.16822]","[11.55066, 15.94315]","[11.65921, 15.34716]","[11.06591, 15.42854]","[11.29074, 14.92026]","[10.48984, 15.68838]","[10.91731, 15.31799]","[11.46661, 14.78454]","[11.22571, 15.04957]","[10.3412, 16.12961]","[10.88008, 16.02107]","[11.89714, 15.5001]"
"[175.0, 200.0]","[10.39432, 16.49723]","[10.22867, 15.58092]","[10.45427, 15.58632]","[10.2537, 15.74735]","[10.93608, 14.491]","[10.04523, 15.21368]","[10.16431, 14.74223]","[10.36972, 14.2142]","[10.38903, 14.64985]","[9.95703, 15.38644]","[10.05968, 15.26092]","[10.84175, 14.53003]"
"[200.0, 225.0]","[9.94377, 15.74654]","[9.52431, 15.292]","[9.33056, 15.98102]","[9.08472, 16.0866]","[10.23943, 14.19043]","[9.41623, 14.646]","[9.58217, 14.14052]","[9.61841, 13.91414]","[9.39246, 14.56481]","[9.10264, 15.22633]","[9.2287, 14.90503]","[9.99343, 14.03631]"
"[225.0, 250.0]","[9.24481, 14.78982]","[8.77028, 14.49682]","[7.78206, 16.22246]","[7.91932, 15.51914]","[9.18382, 13.7199]","[8.54593, 13.85479]","[8.6376, 13.51558]","[8.84402, 13.21195]","[8.36626, 13.97678]","[8.19824, 14.54894]","[8.20327, 14.23575]","[9.08293, 13.07997]"
"[250.0, 275.0]","[8.6373, 13.92715]","[8.42044, 13.37464]","[6.59928, 15.97384]","[7.21243, 14.65663]","[8.33037, 13.04531]","[7.74701, 13.18697]","[7.83468, 13.00453]","[8.21694, 12.43904]","[7.50646, 13.33888]","[7.51201, 13.77846]","[7.55566, 13.48753]","[8.38806, 12.31489]"
"[275.0, 300.0]","[7.93762, 13.16924]","[8.0082, 12.3898]","[5.68297, 15.47694]","[7.00963, 13.30516]","[7.69979, 12.16917]","[7.09849, 12.5302]","[7.19346, 12.45245]","[7.61813, 11.73334]","[6.89852, 12.59807]","[6.94396, 13.07786]","[7.18214, 12.49837]","[7.75865, 11.5557]"
"[300.0, 325.0]","[7.38235, 12.37781]","[7.53857, 11.61233]","[5.39694, 14.34883]","[6.67856, 12.33697]","[7.26237, 11.26581]","[6.59255, 11.85474]","[6.76256, 11.74813]","[7.0841, 11.07324]","[6.35098, 11.98014]","[6.36571, 12.538]","[6.78707, 11.70688]","[7.22288, 10.82764]"
"[325.0, 350.0]","[6.81753, 11.6219]","[7.15518, 11.00054]","[5.38953, 13.11988]","[6.45457, 11.36956]","[6.87503, 10.45184]","[6.16945, 11.2304]","[6.37413, 11.13671]","[6.51123, 10.52677]","[5.87099, 11.40533]","[5.96327, 11.89568]","[6.34592, 11.15788]","[6.78543, 10.22021]"
"[350.0, 375.0]","[6.33987, 10.97939]","[6.71702, 10.45849]","[5.3746, 12.02801]","[6.2292, 10.5131]","[6.42597, 9.81752]","[5.80829, 10.64133]","[6.04072, 10.5153]","[5.9969, 9.97625]","[5.46647, 10.88797]","[5.60009, 11.26808]","[5.96298, 10.49653]","[6.43398, 9.65215]"
"[375.0, 400.0]","[6.10307, 10.19884]","[6.35129, 9.91253]","[5.22305, 11.15062]","[5.99469, 9.68609]","[6.01088, 9.24413]","[5.43352, 10.11538]","[5.67653, 9.96759]","[5.56463, 9.40663]","[5.09445, 10.04018]","[4.82717, 10.25529]","[5.83714, 9.50352]","[6.1513, 9.11548]"
"[400.0, 425.0]","[5.90079, 9.79904]","[5.94525, 9.5897]","[5.20376, 10.56131]","[5.8316, 9.14811]","[5.73052, 8.85953]","[5.22932, 9.66615]","[5.29976, 9.50956]","[4.78636, 9.83904]","[4.94001, 10.47514]","[5.31435, 9.82596]","[5.43727, 9.58479]","[5.89798, 8.73258]"
"[425.0, 450.0]","[nan, nan]","[nan, nan]","[nan, nan]","[7.18333, 7.64587]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
