,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[0.0, 5.0]","[3.77189, 3.77402]","[3.60527, 3.60953]","[3.56561, 3.57199]","[3.32087, 4.17592]","[3.68068, 4.5828]","[3.2031, 5.93473]","[4.24254, 5.48126]","[4.33954, 5.45744]","[4.55293, 4.87925]","[4.40872, 4.48022]","[4.18794, 4.19224]","[3.9739, 3.9739]"
"[5.0, 10.0]","[nan, nan]","[nan, nan]","[nan, nan]","[3.70523, 3.95325]","[3.50644, 4.22579]","[2.7928, 5.82998]","[4.04349, 5.67808]","[4.51195, 5.65161]","[4.66758, 4.96206]","[4.26737, 4.36542]","[4.00199, 4.00875]","[3.94813, 4.18273]"
"[10.0, 15.0]","[nan, nan]","[nan, nan]","[nan, nan]","[3.40541, 3.56443]","[3.54345, 4.19314]","[2.68498, 5.92924]","[3.63128, 5.661]","[4.12386, 5.44082]","[4.4238, 4.98549]","[4.42646, 4.51661]","[4.15512, 4.16023]","[3.68183, 3.9616]"
"[15.0, 20.0]","[nan, nan]","[nan, nan]","[nan, nan]","[2.96208, 3.11542]","[3.75826, 4.35132]","[2.87822, 6.0]","[3.59097, 5.23849]","[3.55451, 5.18313]","[4.22798, 4.92564]","[4.7033, 4.78686]","[4.35346, 4.36613]","[3.18082, 3.40582]"
