,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[0, 0]","[0.00000, 11.04288]","[0.00000, 13.24888]","[0.00000, 21.83656]","[0.00000, 27.43597]","[0.00000, 28.18195]","[0.00000, 22.21660]","[0.00000, 17.17982]","[0.00000, 12.28458]","[0.00000, 13.20477]","[0.00000, 15.79514]","[0.00000, 11.30914]","[0.00000, 9.55805]"
"[1, 1]","[0.00000, 16.51270]","[0.00000, 20.92690]","[0.00000, 33.13344]","[0.00000, 41.83799]","[0.00000, 44.73268]","[0.00000, 36.60988]","[0.00000, 30.41207]","[0.00000, 23.15863]","[0.00000, 22.61015]","[0.00000, 23.53379]","[0.00000, 17.54516]","[0.00000, 14.59835]"
"[2, 2]","[0.00000, 20.60549]","[0.00000, 27.25178]","[0.00000, 47.00253]","[0.00000, 61.35213]","[0.00000, 66.71897]","[0.00000, 59.30651]","[0.00000, 52.77788]","[0.00000, 42.94987]","[0.00000, 37.50548]","[0.00000, 36.10620]","[0.00000, 25.60127]","[0.00000, 19.37441]"
"[3, 3]","[0.00000, 18.92642]","[0.00000, 26.62084]","[0.00000, 47.47774]","[0.00000, 62.98405]","[0.00000, 68.20118]","[0.00000, 61.64515]","[0.00000, 56.99013]","[0.00000, 48.68714]","[0.00000, 42.48509]","[0.00000, 37.47409]","[0.00000, 25.34625]","[0.00000, 18.16528]"
"[4, 4]","[0.00000, 14.69445]","[0.00000, 22.32760]","[0.00000, 42.19792]","[0.00000, 56.25033]","[0.00000, 61.51132]","[0.00000, 58.57811]","[0.00000, 54.32047]","[0.00000, 46.80299]","[0.00000, 41.87932]","[0.00000, 35.20600]","[0.00000, 22.64399]","[0.00000, 14.07726]"
"[5, 5]","[0.00000, 2.18090]","[0.00000, 3.80046]","[0.00000, 6.90664]","[0.00000, 9.85601]","[0.00000, 11.44525]","[0.00000, 11.05289]","[0.00000, 10.39151]","[0.00000, 9.46370]","[0.00000, 7.49762]","[0.00000, 5.60009]","[0.00000, 3.27683]","[0.00000, 1.93261]"
"[6, 6]","[0.00000, 0.54266]","[0.00000, 0.90499]","[0.00000, 1.64303]","[0.00000, 2.45628]","[0.00000, 2.94504]","[0.00000, 2.88663]","[0.00000, 2.82179]","[0.00000, 2.63799]","[0.00000, 2.08824]","[0.00000, 1.24251]","[0.00000, 0.76110]","[0.00000, 0.47076]"
