,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[0, 0]","[0.00000, 280.45406]","[0.00000, 246.47874]","[0.00000, 217.01733]","[0.00000, 156.00532]","[0.00000, 103.32926]","[0.00000, 83.79675]","[0.00000, 90.62909]","[0.00000, 128.89273]","[0.00000, 186.27809]","[0.00000, 231.03267]","[0.00000, 264.26719]","[0.00000, 275.84511]"
"[1, 1]","[0.00000, 295.35024]","[0.00000, 255.53627]","[0.00000, 219.64563]","[0.00000, 149.79918]","[0.00000, 95.02536]","[0.00000, 78.58790]","[0.00000, 87.64136]","[0.00000, 125.57096]","[0.00000, 187.41299]","[0.00000, 231.04675]","[0.00000, 267.38088]","[0.00000, 284.85007]"
"[2, 2]","[0.00000, 300.00000]","[0.00000, 288.97612]","[0.00000, 259.01853]","[0.00000, 186.61526]","[0.00000, 122.56127]","[0.00000, 98.50460]","[0.00000, 106.72689]","[0.00000, 150.75982]","[0.00000, 217.27847]","[0.00000, 265.64825]","[0.00000, 300.00000]","[0.00000, 300.00000]"
"[3, 3]","[0.00000, 300.00000]","[0.00000, 282.54722]","[0.00000, 252.17347]","[0.00000, 181.64898]","[0.00000, 119.77530]","[0.00000, 98.30271]","[0.00000, 107.64000]","[0.00000, 151.98388]","[0.00000, 218.30430]","[0.00000, 267.10230]","[0.00000, 300.00000]","[0.00000, 300.00000]"
"[4, 4]","[0.00000, 300.00000]","[0.00000, 282.65699]","[0.00000, 252.35694]","[0.00000, 180.02850]","[0.00000, 116.23772]","[0.00000, 95.39535]","[0.00000, 105.39472]","[0.00000, 151.83627]","[0.00000, 219.07986]","[0.00000, 262.43684]","[0.00000, 292.91654]","[0.00000, 300.00000]"
"[5, 5]","[0.00000, 265.24241]","[0.00000, 230.98079]","[0.00000, 206.55906]","[0.00000, 149.14596]","[0.00000, 99.38778]","[0.00000, 80.51587]","[0.00000, 87.50595]","[0.00000, 125.26387]","[0.00000, 182.09081]","[0.00000, 221.57810]","[0.00000, 252.10181]","[0.00000, 260.18945]"
"[6, 6]","[0.00000, 254.46004]","[0.00000, 226.72172]","[0.00000, 201.58319]","[0.00000, 144.26712]","[0.00000, 94.22172]","[0.00000, 82.13127]","[0.00000, 91.79962]","[0.00000, 126.88984]","[0.00000, 177.31737]","[0.00000, 206.38439]","[0.00000, 231.30413]","[0.00000, 244.51890]"
