,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[0, 0]","[0.00000, 0.56034]","[0.00000, 1.37598]","[0.00000, 6.93593]","[0.00000, 15.97394]","[0.00000, 19.39282]","[0.00000, 16.12295]","[0.00000, 13.82842]","[0.00000, 9.34300]","[0.00000, 7.12452]","[0.00000, 5.83190]","[0.00000, 3.08624]","[0.00000, 1.58666]"
"[1, 1]","[0.00000, 1.84927]","[0.00000, 3.19650]","[0.00000, 14.18561]","[0.00000, 29.36072]","[0.00000, 36.98815]","[0.00000, 32.86675]","[0.00000, 30.34282]","[0.00000, 20.22458]","[0.00000, 15.65379]","[0.00000, 11.80504]","[0.00000, 6.09574]","[0.00000, 3.44314]"
"[2, 2]","[0.00000, 5.14586]","[0.00000, 9.37420]","[0.00000, 31.67558]","[0.00000, 47.49574]","[0.00000, 59.12349]","[0.00000, 55.57584]","[0.00000, 54.05872]","[0.00000, 38.53480]","[0.00000, 30.13659]","[0.00000, 23.05817]","[0.00000, 12.78209]","[0.00000, 7.30826]"
"[3, 3]","[0.00000, 7.47620]","[0.00000, 10.27239]","[0.00000, 32.06560]","[0.00000, 49.24272]","[0.00000, 61.51598]","[0.00000, 60.04480]","[0.00000, 59.91089]","[0.00000, 45.60468]","[0.00000, 34.07493]","[0.00000, 24.90253]","[0.00000, 13.34135]","[0.00000, 8.05333]"
"[4, 4]","[0.00000, 7.44479]","[0.00000, 10.99509]","[0.00000, 30.72413]","[0.00000, 48.11870]","[0.00000, 58.44407]","[0.00000, 59.36186]","[0.00000, 58.41191]","[0.00000, 47.31105]","[0.00000, 33.90868]","[0.00000, 26.30545]","[0.00000, 14.46645]","[0.00000, 7.92217]"
"[5, 5]","[0.00000, 1.29677]","[0.00000, 2.11913]","[0.00000, 5.46479]","[0.00000, 8.30258]","[0.00000, 10.77893]","[0.00000, 11.51198]","[0.00000, 11.30991]","[0.00000, 9.11650]","[0.00000, 6.15009]","[0.00000, 4.20893]","[0.00000, 2.09909]","[0.00000, 1.18814]"
"[6, 6]","[0.00000, 0.27890]","[0.00000, 0.46783]","[0.00000, 1.31562]","[0.00000, 2.00368]","[0.00000, 2.69855]","[0.00000, 2.91796]","[0.00000, 2.86336]","[0.00000, 2.01363]","[0.00000, 1.26848]","[0.00000, 0.83812]","[0.00000, 0.44218]","[0.00000, 0.27342]"
