,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[0, 0]","[0.00000, 4.10928]","[0.00000, 4.69157]","[0.00000, 8.15240]","[0.00000, 17.53232]","[0.00000, 29.20058]","[0.00000, 28.65971]","[0.00000, 32.11796]","[0.00000, 22.82001]","[0.00000, 22.48910]","[0.00000, 10.78560]","[0.00000, 10.78264]","[0.00000, 6.30597]"
"[1, 1]","[0.00000, 6.89805]","[0.00000, 7.96312]","[0.00000, 18.18682]","[0.00000, 29.40332]","[0.00000, 42.80478]","[0.00000, 41.01528]","[0.00000, 46.33648]","[0.00000, 32.34491]","[0.00000, 32.81097]","[0.00000, 19.88538]","[0.00000, 17.91365]","[0.00000, 10.31255]"
"[2, 2]","[0.00000, 12.03941]","[0.00000, 14.22189]","[0.00000, 26.62337]","[0.00000, 48.21539]","[0.00000, 69.52615]","[0.00000, 71.87046]","[0.00000, 78.28400]","[0.00000, 60.85510]","[0.00000, 56.28895]","[0.00000, 34.38513]","[0.00000, 27.62381]","[0.00000, 16.15452]"
"[3, 3]","[0.00000, 13.28973]","[0.00000, 13.11995]","[0.00000, 26.83994]","[0.00000, 50.79867]","[0.00000, 70.00693]","[0.00000, 70.20573]","[0.00000, 78.45738]","[0.00000, 60.16709]","[0.00000, 56.34051]","[0.00000, 35.33930]","[0.00000, 27.35369]","[0.00000, 17.33066]"
"[4, 4]","[0.00000, 13.68394]","[0.00000, 18.24918]","[0.00000, 32.36958]","[0.00000, 50.27085]","[0.00000, 67.61844]","[0.00000, 65.48869]","[0.00000, 71.57990]","[0.00000, 59.26168]","[0.00000, 53.90638]","[0.00000, 34.78622]","[0.00000, 24.68320]","[0.00000, 15.30506]"
"[5, 5]","[0.00000, 1.96972]","[0.00000, 3.03661]","[0.00000, 5.70444]","[0.00000, 8.93963]","[0.00000, 12.34906]","[0.00000, 12.47417]","[0.00000, 13.51640]","[0.00000, 10.83147]","[0.00000, 8.84767]","[0.00000, 5.16318]","[0.00000, 3.33728]","[0.00000, 2.12760]"
"[6, 6]","[0.00000, 0.48412]","[0.00000, 0.73122]","[0.00000, 1.28006]","[0.00000, 2.14844]","[0.00000, 3.11093]","[0.00000, 3.41989]","[0.00000, 3.49020]","[0.00000, 2.47179]","[0.00000, 1.84831]","[0.00000, 1.06883]","[0.00000, 0.72046]","[0.00000, 0.48901]"
