,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[0, 0]","[0.00000, 13.26167]","[0.00000, 18.29678]","[0.00000, 22.43380]","[0.00000, 38.61233]","[0.00000, 32.03818]","[0.00000, 25.07461]","[0.00000, 23.98677]","[0.00000, 15.18535]","[0.00000, 22.00925]","[0.00000, 20.41315]","[0.00000, 19.63998]","[0.00000, 14.74426]"
"[1, 1]","[0.00000, 18.13281]","[0.00000, 23.97019]","[0.00000, 31.87160]","[0.00000, 53.42718]","[0.00000, 46.75966]","[0.00000, 40.00377]","[0.00000, 36.49600]","[0.00000, 18.45084]","[0.00000, 27.55478]","[0.00000, 30.33396]","[0.00000, 29.70344]","[0.00000, 20.54012]"
"[2, 2]","[0.00000, 22.46418]","[0.00000, 31.26642]","[0.00000, 50.48451]","[0.00000, 74.05735]","[0.00000, 66.04155]","[0.00000, 59.41497]","[0.00000, 54.02108]","[0.00000, 35.29848]","[0.00000, 44.51734]","[0.00000, 44.91495]","[0.00000, 40.02762]","[0.00000, 27.65884]"
"[3, 3]","[0.00000, 21.86916]","[0.00000, 34.54835]","[0.00000, 59.68761]","[0.00000, 75.97737]","[0.00000, 66.54085]","[0.00000, 60.02331]","[0.00000, 54.18621]","[0.00000, 39.07573]","[0.00000, 52.54422]","[0.00000, 45.95009]","[0.00000, 38.50994]","[0.00000, 25.65876]"
"[4, 4]","[0.00000, 17.05832]","[0.00000, 28.78163]","[0.00000, 51.50077]","[0.00000, 65.41136]","[0.00000, 58.16198]","[0.00000, 55.63931]","[0.00000, 52.10153]","[0.00000, 43.64489]","[0.00000, 53.77767]","[0.00000, 42.37033]","[0.00000, 31.33054]","[0.00000, 20.10204]"
"[5, 5]","[0.00000, 2.61997]","[0.00000, 4.86373]","[0.00000, 9.56311]","[0.00000, 11.54404]","[0.00000, 10.31264]","[0.00000, 10.24495]","[0.00000, 9.96500]","[0.00000, 8.37328]","[0.00000, 9.50395]","[0.00000, 6.68346]","[0.00000, 4.27703]","[0.00000, 2.73695]"
"[6, 6]","[0.00000, 0.64453]","[0.00000, 1.06579]","[0.00000, 2.18610]","[0.00000, 2.83878]","[0.00000, 2.67225]","[0.00000, 2.74967]","[0.00000, 2.58150]","[0.00000, 1.93241]","[0.00000, 2.22109]","[0.00000, 1.47316]","[0.00000, 0.96047]","[0.00000, 0.61675]"
