,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[0, 0]","[0.00000, 4.98035]","[0.00000, 11.80131]","[0.00000, 22.60110]","[0.00000, 29.87440]","[0.00000, 21.06827]","[0.00000, 17.59982]","[0.00000, 31.06250]","[0.00000, 28.62410]","[0.00000, 20.26329]","[0.00000, 10.78652]","[0.00000, 4.67303]","[0.00000, 2.48426]"
"[1, 1]","[0.00000, 6.89509]","[0.00000, 15.65113]","[0.00000, 29.89250]","[0.00000, 38.27705]","[0.00000, 26.93917]","[0.00000, 21.74532]","[0.00000, 39.91934]","[0.00000, 36.82468]","[0.00000, 27.16812]","[0.00000, 15.65454]","[0.00000, 7.54250]","[0.00000, 4.22186]"
"[2, 2]","[0.00000, 9.23984]","[0.00000, 20.61066]","[0.00000, 40.01786]","[0.00000, 50.09965]","[0.00000, 37.04074]","[0.00000, 30.33436]","[0.00000, 48.55881]","[0.00000, 46.31395]","[0.00000, 34.99541]","[0.00000, 20.90602]","[0.00000, 9.84017]","[0.00000, 5.17312]"
"[3, 3]","[0.00000, 6.54054]","[0.00000, 16.26036]","[0.00000, 32.64837]","[0.00000, 42.65099]","[0.00000, 33.59648]","[0.00000, 28.51339]","[0.00000, 41.59243]","[0.00000, 39.45642]","[0.00000, 30.64920]","[0.00000, 17.99311]","[0.00000, 7.66006]","[0.00000, 3.45408]"
"[4, 4]","[0.00000, 3.90986]","[0.00000, 9.93916]","[0.00000, 19.51095]","[0.00000, 27.70311]","[0.00000, 26.64354]","[0.00000, 25.07780]","[0.00000, 31.84668]","[0.00000, 27.79724]","[0.00000, 21.47414]","[0.00000, 12.37341]","[0.00000, 4.89736]","[0.00000, 2.10012]"
"[5, 5]","[0.00000, 0.14660]","[0.00000, 0.34573]","[0.00000, 0.74724]","[0.00000, 1.20079]","[0.00000, 1.19253]","[0.00000, 4.78630]","[0.00000, 16.15938]","[0.00000, 1.21175]","[0.00000, 0.82766]","[0.00000, 0.45207]","[0.00000, 0.20909]","[0.00000, 0.10252]"
"[6, 6]","[0.00000, 0.06118]","[0.00000, 0.11860]","[0.00000, 0.12440]","[0.00000, 0.21017]","[0.00000, 0.35592]","[0.00000, 3.98233]","[0.00000, 12.92544]","[0.00000, 0.49946]","[0.00000, 0.13290]","[0.00000, 0.10063]","[0.00000, 0.06710]","[0.00000, 0.04567]"
