,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[0, 0]","[0.00000, 20.65298]","[0.00000, 52.78963]","[0.00000, 100.67110]","[0.00000, 142.94884]","[0.00000, 157.77982]","[0.00000, 164.75232]","[0.00000, 154.46484]","[0.00000, 140.82546]","[0.00000, 114.81896]","[0.00000, 70.75245]","[0.00000, 29.79525]","[0.00000, 13.82029]"
"[1, 1]","[0.00000, 18.75094]","[0.00000, 49.07146]","[0.00000, 99.03449]","[0.00000, 150.90487]","[0.00000, 172.23780]","[0.00000, 185.94281]","[0.00000, 175.43923]","[0.00000, 156.77086]","[0.00000, 124.63016]","[0.00000, 73.91894]","[0.00000, 29.56632]","[0.00000, 12.94856]"
"[2, 2]","[0.00000, 25.06166]","[0.00000, 62.64500]","[0.00000, 119.80272]","[0.00000, 171.09985]","[0.00000, 186.74201]","[0.00000, 195.61072]","[0.00000, 184.03234]","[0.00000, 169.91641]","[0.00000, 143.98765]","[0.00000, 93.52099]","[0.00000, 40.51823]","[0.00000, 18.21882]"
"[3, 3]","[0.00000, 26.79256]","[0.00000, 67.25354]","[0.00000, 125.19702]","[0.00000, 175.32684]","[0.00000, 190.22897]","[0.00000, 198.32676]","[0.00000, 185.30511]","[0.00000, 169.97343]","[0.00000, 142.62863]","[0.00000, 91.23003]","[0.00000, 39.90797]","[0.00000, 18.24936]"
"[4, 4]","[0.00000, 19.69694]","[0.00000, 55.94296]","[0.00000, 110.94269]","[0.00000, 161.30779]","[0.00000, 177.89886]","[0.00000, 187.23473]","[0.00000, 176.10825]","[0.00000, 158.60211]","[0.00000, 131.64806]","[0.00000, 81.44669]","[0.00000, 33.15859]","[0.00000, 13.56160]"
"[5, 5]","[0.00000, 20.13690]","[0.00000, 54.11826]","[0.00000, 103.37171]","[0.00000, 145.37026]","[0.00000, 157.67841]","[0.00000, 164.74032]","[0.00000, 155.45525]","[0.00000, 144.01130]","[0.00000, 122.55014]","[0.00000, 78.15446]","[0.00000, 32.90343]","[0.00000, 13.69727]"
"[6, 6]","[0.00000, 19.64316]","[0.00000, 52.71244]","[0.00000, 97.96343]","[0.00000, 135.63035]","[0.00000, 146.77306]","[0.00000, 152.15690]","[0.00000, 144.11230]","[0.00000, 134.50668]","[0.00000, 115.02737]","[0.00000, 73.21356]","[0.00000, 29.96974]","[0.00000, 12.79564]"
