,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[0, 0]","[0.00000, 7.47831]","[0.00000, 11.12402]","[0.00000, 13.93865]","[0.00000, 23.41647]","[0.00000, 34.31921]","[0.00000, 48.51073]","[0.00000, 59.50232]","[0.00000, 68.54044]","[0.00000, 53.57101]","[0.00000, 28.05802]","[0.00000, 11.82073]","[0.00000, 6.35749]"
"[1, 1]","[0.00000, 16.65090]","[0.00000, 22.17923]","[0.00000, 26.37228]","[0.00000, 36.62425]","[0.00000, 50.76117]","[0.00000, 66.17760]","[0.00000, 78.62630]","[0.00000, 85.74927]","[0.00000, 65.70223]","[0.00000, 33.13997]","[0.00000, 19.38100]","[0.00000, 13.30219]"
"[2, 2]","[0.00000, 26.04967]","[0.00000, 32.96414]","[0.00000, 39.95781]","[0.00000, 57.76762]","[0.00000, 75.88955]","[0.00000, 89.79779]","[0.00000, 99.24876]","[0.00000, 101.54965]","[0.00000, 81.91104]","[0.00000, 49.44056]","[0.00000, 31.01076]","[0.00000, 22.57023]"
"[3, 3]","[0.00000, 25.25782]","[0.00000, 31.83939]","[0.00000, 38.54049]","[0.00000, 57.99190]","[0.00000, 74.72246]","[0.00000, 85.59711]","[0.00000, 91.78392]","[0.00000, 93.03980]","[0.00000, 74.90956]","[0.00000, 48.55369]","[0.00000, 30.84594]","[0.00000, 22.21241]"
"[4, 4]","[0.00000, 21.01958]","[0.00000, 28.33957]","[0.00000, 34.53319]","[0.00000, 50.02858]","[0.00000, 63.45271]","[0.00000, 75.41626]","[0.00000, 84.27795]","[0.00000, 86.32718]","[0.00000, 71.90379]","[0.00000, 43.38130]","[0.00000, 26.16629]","[0.00000, 17.83053]"
"[5, 5]","[0.00000, 2.68416]","[0.00000, 4.00818]","[0.00000, 5.77910]","[0.00000, 9.53677]","[0.00000, 11.74946]","[0.00000, 12.97004]","[0.00000, 13.71089]","[0.00000, 12.96477]","[0.00000, 10.16781]","[0.00000, 6.18328]","[0.00000, 3.56927]","[0.00000, 2.39457]"
"[6, 6]","[0.00000, 0.84797]","[0.00000, 1.21997]","[0.00000, 1.68270]","[0.00000, 2.28097]","[0.00000, 2.92394]","[0.00000, 3.50506]","[0.00000, 4.08177]","[0.00000, 3.97418]","[0.00000, 3.03903]","[0.00000, 1.58808]","[0.00000, 0.94705]","[0.00000, 0.67967]"
