,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[15, 20]","[-400, 4000]","[-400, 4000]","[-400, 4000]","[-400, 4000]","[-400, 4000]","[-400, 4000]","[1778.40017, 1804.93317]","[-400, 4000]","[-400, 4000]","[-400, 4000]","[-400, 4000]","[-400, 4000]"
"[20, 25]","[-400, 4000]","[-400, 4000]","[758.83192, 768.66808]","[976.07088, 1020.83190]","[1193.30984, 1272.99571]","[1410.54881, 1525.15953]","[1627.78777, 1777.32334]","[2471.34669, 2479.65331]","[-400, 4000]","[-400, 4000]","[-400, 4000]","[-400, 4000]"
"[25, 30]","[770.61254, 1465.54470]","[468.19426, 1624.34630]","[447.36994, 1745.39178]","[647.31101, 1742.22049]","[709.12206, 1893.70728]","[370.82920, 2497.81190]","[721.84762, 2514.33019]","[847.46818, 2786.78636]","[599.64872, 3263.41938]","[1430.41282, 2310.46021]","[1233.02945, 2040.08570]","[912.21305, 1766.05560]"
"[30, 35]","[769.78826, 1531.22551]","[507.00925, 1623.78257]","[493.07937, 1710.06665]","[676.64038, 1689.13446]","[620.12403, 1899.46940]","[344.19094, 2356.60095]","[683.19529, 2310.53724]","[727.85174, 2647.57898]","[589.29847, 3076.90662]","[1409.37400, 2245.85458]","[1182.64170, 2107.29205]","[942.43103, 1803.17568]"
"[35, 40]","[894.72490, 1486.81705]","[812.29931, 1408.82322]","[543.30460, 1763.03338]","[707.29354, 1762.99067]","[657.86844, 1921.24114]","[456.06655, 2201.73613]","[702.76406, 2126.58434]","[851.23573, 2286.46787]","[670.45449, 2775.64201]","[1357.81229, 2170.01052]","[1300.18565, 1970.87601]","[990.81599, 1807.94423]"
"[40, 45]","[794.57546, 1622.26606]","[774.03888, 1454.17182]","[599.99732, 1719.16505]","[553.60272, 1959.66944]","[795.68086, 1834.41543]","[584.02275, 2077.93083]","[743.51528, 2008.84660]","[896.96656, 2108.56200]","[776.43001, 2553.56604]","[1261.70437, 2225.06522]","[1282.90942, 2022.50019]","[1018.60388, 1839.52927]"
"[45, 50]","[778.53122, 1700.16945]","[851.27897, 1498.33336]","[795.64288, 1663.77945]","[635.32700, 1964.91764]","[840.40335, 1786.78136]","[635.06665, 1969.25857]","[755.69086, 1960.56302]","[918.30539, 2121.83540]","[883.87579, 2534.02373]","[1110.99452, 2458.85284]","[1303.78869, 2044.32002]","[1040.00247, 1843.39700]"
"[50, 55]","[866.46423, 1678.66152]","[924.08343, 1465.45373]","[829.23528, 1622.75695]","[707.81165, 1876.96190]","[882.34797, 1764.18569]","[736.70503, 1909.23280]","[805.48921, 1908.63910]","[962.00445, 1976.59789]","[971.18583, 2262.81264]","[1063.43548, 2326.74742]","[1281.45851, 1978.07884]","[1077.94075, 1824.34124]"
"[55, 60]","[862.19345, 1715.16122]","[975.95172, 1462.47813]","[906.00629, 1584.04148]","[749.65994, 1855.37737]","[915.50389, 1741.39955]","[770.95028, 1878.45491]","[874.94742, 1822.94446]","[988.28863, 1896.76657]","[1068.43415, 2074.65422]","[1079.35926, 2210.15217]","[728.11077, 2461.29604]","[1081.66588, 1805.58808]"
"[60, 65]","[904.01454, 1709.16948]","[1017.01394, 1460.28225]","[961.06476, 1556.53382]","[800.61973, 1823.92180]","[1003.37919, 1674.52131]","[837.55800, 1833.00141]","[925.26306, 1777.97287]","[1028.90866, 1829.83503]","[1096.47618, 1991.75693]","[1130.25935, 2101.20268]","[1186.06439, 1972.41874]","[1096.21750, 1799.81493]"
