,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[-400, 4000]","[-400, 4000]","[-400, 4000]","[-400, 4000]","[-400, 4000]","[-400, 4000]","[-400, 4000]","[-400, 4000]","[-400, 4000]","[1658.22207, 2048.89222]","[1216.57707, 1999.98277]","[-400, 4000]"
"[25, 30]","[492.14135, 1452.99044]","[498.07300, 1144.03600]","[415.18843, 1179.45244]","[505.69237, 1194.52189]","[421.03511, 1487.34471]","[277.76444, 1978.66648]","[328.54796, 2437.79176]","[494.56496, 2829.07265]","[931.71018, 2754.21576]","[1133.77849, 2507.11915]","[951.82511, 2226.63187]","[769.87028, 1745.71542]"
"[30, 35]","[456.13890, 1492.77619]","[454.03643, 1174.59216]","[358.14674, 1219.07491]","[534.98551, 1142.26940]","[364.45267, 1492.90088]","[292.33010, 1863.57304]","[193.37996, 2430.74139]","[437.34666, 2743.77381]","[856.65845, 2734.35173]","[1124.11763, 2488.62947]","[988.31392, 2207.62191]","[731.13846, 1807.76500]"
"[35, 40]","[474.71566, 1516.89961]","[452.53288, 1205.26301]","[324.42431, 1294.41258]","[469.48326, 1244.80529]","[369.50908, 1449.48675]","[299.35988, 1676.85257]","[197.55875, 2117.14238]","[430.07630, 2413.26664]","[696.05103, 2653.12774]","[959.63677, 2566.14477]","[1012.36795, 2213.88389]","[751.36057, 1850.79780]"
"[40, 45]","[493.79492, 1551.95846]","[442.90776, 1255.65599]","[285.94843, 1365.08615]","[449.16814, 1302.40300]","[419.46604, 1432.02461]","[343.50213, 1623.10367]","[285.56463, 1944.83705]","[422.78177, 2271.15672]","[728.73625, 2461.68966]","[834.71325, 2587.78714]","[1013.89974, 2192.33395]","[764.72279, 1877.43751]"
"[45, 50]","[519.37454, 1590.76864]","[437.27043, 1315.05779]","[250.79344, 1437.89500]","[435.88865, 1357.76608]","[438.76124, 1470.11658]","[363.09544, 1652.78605]","[314.37635, 1914.23919]","[467.22423, 2153.07745]","[748.31563, 2325.27460]","[787.36347, 2537.03806]","[991.35971, 2183.94754]","[796.24655, 1882.40827]"
"[50, 55]","[548.95624, 1627.59727]","[443.47422, 1385.77146]","[228.49539, 1523.69570]","[440.47376, 1400.66374]","[459.00124, 1489.03835]","[373.02989, 1671.90993]","[344.63186, 1886.14097]","[500.59973, 2079.35727]","[795.70693, 2202.53500]","[800.14997, 2448.49955]","[987.46128, 2152.40981]","[817.62075, 1884.11977]"
"[55, 60]","[590.29810, 1659.09684]","[463.73015, 1453.96995]","[223.05657, 1601.36538]","[452.22614, 1439.28888]","[481.29252, 1508.52267]","[386.79910, 1698.03666]","[384.61178, 1869.54351]","[549.88966, 2013.70168]","[816.79763, 2121.58040]","[814.04170, 2361.01062]","[968.73437, 2130.27656]","[839.70632, 1882.77550]"
"[60, 65]","[642.67031, 1683.70544]","[501.36742, 1514.54837]","[238.10603, 1667.46414]","[464.97226, 1478.25243]","[512.73679, 1513.87296]","[421.07329, 1701.81020]","[430.03332, 1857.89731]","[605.50979, 1964.19724]","[836.01706, 2067.19278]","[840.15644, 2277.23962]","[975.32551, 2087.36903]","[871.79134, 1871.47228]"
"[65, 70]","[615.58959, 1810.08581]","[561.09138, 1566.81294]","[284.20480, 1703.10544]","[482.90454, 1504.60067]","[547.84825, 1510.56497]","[469.98384, 1695.08688]","[490.24288, 1842.71602]","[665.20001, 1921.91607]","[849.96535, 2025.43946]","[875.93839, 2190.58001]","[987.35185, 2051.87245]","[937.80046, 1847.07169]"
"[70, 75]","[690.03030, 1809.17266]","[621.75375, 1599.24867]","[350.12238, 1715.72248]","[509.72665, 1529.53334]","[591.12077, 1505.21427]","[522.26898, 1683.51626]","[551.58746, 1822.74067]","[724.06067, 1884.77828]","[873.95232, 1988.51996]","[917.89275, 2113.32987]","[1007.36195, 2010.47534]","[995.04825, 1814.86308]"
"[75, 80]","[885.81705, 1664.82035]","[687.43955, 1615.33857]","[420.99714, 1727.19986]","[538.01490, 1563.72980]","[635.35067, 1504.12856]","[575.75537, 1665.71470]","[611.37770, 1795.58038]","[780.45413, 1847.53559]","[907.08420, 1948.07515]","[956.74669, 2044.28111]","[1028.88012, 1961.24079]","[1051.11761, 1764.42395]"
"[80, 85]","[943.76834, 1648.52779]","[762.51287, 1598.53883]","[505.54275, 1700.28192]","[566.43878, 1584.33495]","[693.08230, 1489.74386]","[625.22402, 1657.78019]","[677.53752, 1764.36197]","[834.20759, 1810.55215]","[933.02615, 1914.59187]","[1000.38066, 1978.30374]","[1049.86789, 1925.14826]","[1101.02272, 1726.18412]"
"[85, 90]","[1027.85733, 1636.37305]","[893.41918, 1566.47520]","[637.67981, 1657.55159]","[638.37217, 1570.33013]","[737.13581, 1477.33513]","[661.94465, 1645.68589]","[745.05141, 1723.82808]","[885.77282, 1778.25997]","[964.42506, 1879.73534]","[1031.85148, 1923.48531]","[1082.51583, 1876.23500]","[1161.20306, 1688.92356]"
"[90, 95]","[1087.07744, 1589.68142]","[948.50047, 1541.50138]","[730.53619, 1610.69683]","[667.45874, 1595.46226]","[785.68153, 1479.96393]","[716.70653, 1628.95971]","[809.10116, 1679.83454]","[925.73342, 1741.73545]","[992.05570, 1844.38238]","[1066.34791, 1876.82639]","[1084.92527, 1863.74841]","[1175.84941, 1672.60311]"
"[95, 100]","[1133.27519, 1543.67151]","[926.14057, 1551.06216]","[768.44356, 1564.46763]","[759.44263, 1517.63617]","[834.22230, 1469.79982]","[766.13051, 1625.40358]","[854.90896, 1666.91307]","[965.02559, 1715.59351]","[1016.38468, 1823.97866]","[1116.00128, 1836.59407]","[1122.95937, 1843.63956]","[1190.76717, 1672.86709]"
